_nt,Key,Title,原因代码,原始返回
inflammatory risk and cardiovascular events in patients without obstructive coronary artery disease the orfan multicentre longitudinal cohort study,QDF38Q6W,"Inflammatory risk and cardiovascular events in patients without obstructive coronary artery disease: the ORFAN multicentre, longitudinal cohort study",1,【原因代码】: 1
mpglnet multi scale progressive global local fusion dental point cloud complementation network,3WS982F7,MPGLNet: Multi-scale progressive global-local fusion dental point cloud complementation network,3,【原因代码】: 3
integrating artificial intelligence driven digital pathology and genomics to establish patient derived organoids as new approach methodologies for drug response in head and neck cancer,XBVJCZN5,Integrating artificial intelligence-driven digital pathology and genomics to establish patient-derived organoids as new approach methodologies for drug response in head and neck cancer,1,【原因代码】: 1
handheld structured light system for panoramic 3d measurement in mesoscale,9D8263JD,Handheld structured light system for panoramic 3D measurement in mesoscale,3,【原因代码】: 3
influence of 3d printing orientations on physico mechanical properties and accuracy of additively manufactured dental ceramics,H9AU3UZX,Influence of 3D printing orientations on physico-mechanical properties and accuracy of additively manufactured dental ceramics,2,【原因代码】: 2
novel anterior cranial base area for voxel based superimposition of craniofacial cbcts,FPPNK9J9,Novel Anterior Cranial Base Area for Voxel-Based Superimposition of Craniofacial CBCTs,3,【原因代码】: 3
influence of the preparation design on the survival probability of occlusal veneers,W5WVZD2W,Influence of the preparation design on the survival probability of occlusal veneers,3,【原因代码】: 3
real world data for phenotypes and genotypes of rare monogenic genetic epilepsies and genes of uncertain significance for epilepsy,RK8FCRMS,Real-world-data for phenotypes and genotypes of rare monogenic genetic epilepsies and genes of uncertain significance for epilepsy,1,【原因代码】: 1
machine learning analysis of rivaroxaban solubility in mixed solvents for application in pharmaceutical crystallization,RQVHK958,Machine learning analysis of rivaroxaban solubility in mixed solvents for application in pharmaceutical crystallization,1,【原因代码】: 1
misfit simulation on implant prostheses with different combinations of engaging and nonengaging titanium bases part 1 stereomicroscopic assessment of the active and passive fit,KCWR6D8F,Misfit simulation on implant prostheses with different combinations of engaging and nonengaging titanium bases. Part 1: Stereomicroscopic assessment of the active and passive fit,3,【原因代码】: 3
high precision 3d teeth reconstruction based on five view intra oral photos,JFWKWNYD,High-precision 3D teeth reconstruction based on five-view intra-oral photos,3,【原因代码】: 3
removable partial dentures retained by hybrid cad cam cobalt chrome double crowns 1 year results from a prospective clinical study cad cam cobalt chrome double crowns 1 year results,V26WUHXM,Removable partial dentures retained by hybrid CAD/CAM cobalt-chrome double crowns: 1-year results from a prospective clinical study CAD/CAM cobalt-chrome double crowns: 1-year results,3,【原因代码】: 3
transoral endoscopic plating for orbital blowout fractures,WQNENHUP,Transoral Endoscopic Plating for Orbital Blowout Fractures,3,【原因代码】: 3
detection and localization of myocardial infarction based on multi scale resnet and attention mechanism,I8RY5NYE,Detection and Localization of Myocardial Infarction Based on Multi-Scale ResNet and Attention Mechanism,1,【原因代码】: 1
diff trgn diffusion based tooth root generation network with multimodal clinical guidance,TG4PSYYM,Diff-TRGN: Diffusion-based tooth root generation network with multimodal clinical guidance,3,【原因代码】: 3
occludentnet self supervised 3d tooth segmentation via mambatrans architecture,Z4P2SRAN,OccluDentNet: Self-Supervised 3D Tooth Segmentation via MambaTrans Architecture,3,【原因代码】: 3
biophotonic nano structures from fundamentals to emerging applications,8PZN48A5,Biophotonic (nano)structures: from fundamentals to emerging applications,2,【原因代码】: 2
a deep learning enabled in silico animal study approach for bone tissue engineering,SKN5AMAW,A deep learning enabled in-silico animal study approach for bone tissue engineering,1,【原因代码】: 1
multiclass cbct image segmentation for orthodontics with deep learning,QMGYIHYL,Multiclass CBCT Image Segmentation for Orthodontics with Deep Learning,3,【原因代码】: 3
mimicking the biology of engineered protein and mrna nanoparticle delivery using a versatile microfluidic platform,7MPMH7WD,Mimicking the Biology of Engineered Protein and mRNA Nanoparticle Delivery Using a Versatile Microfluidic Platform,1,【原因代码】: 1
twin screw extrusion of vitamin d3 iron blend granules in corn and lentil composite flours stability microstructure and interaction of vitamin d3 with human osteoblast cells,RJ782FU9,"Twin-screw extrusion of vitamin D3/iron-blend granules in corn and lentil composite flours: Stability, microstructure, and interaction of vitamin D3 with human osteoblast cells",1,【原因代码】: 1
microfluidic fabrication of microcarriers with sequential delivery of vegf and bmp 2 for bone regeneration,PM6FVZXA,Microfluidic fabrication of microcarriers with sequential delivery of VEGF and BMP-2 for bone regeneration,1,【原因代码】: 1
noninvasive total cholesterol level measurement using an e nose system and machine learning on exhaled breath samples,WHLDYICG,Noninvasive Total Cholesterol Level Measurement Using an E-Nose System and Machine Learning on Exhaled Breath Samples,1,【原因代码】: 1
permeability benchmarking guidelines for comparing in silico in vitro and in vivo measurements,6FYTI4BQ,"Permeability Benchmarking: Guidelines for Comparing in Silico, in Vitro, and in Vivo Measurements",1,【原因代码】: 1
evaluation of fractal descriptors deep features and xai representations with lasso regularized hermite polynomial classifier for h e histological image classification,DD9LDE8E,"Evaluation of fractal descriptors, deep features and XAI representations with LASSO-regularized Hermite polynomial classifier for H&E histological image classification",1,【原因代码】: 1
evaluation of the marginal gap and the three dimensional trueness of suprastructures generated from scanning two different substructure framework materials for full arch implant supported restorations,9748Z4FC,Evaluation of the marginal gap and the three-dimensional trueness of suprastructures generated from scanning two different substructure framework materials for full arch implant-supported restorations,3,【原因代码】: 3
high precision teeth reconstruction based on automatic multimodal fusion with cbct and ios,4FW75KRW,High-precision teeth reconstruction based on automatic multimodal fusion with CBCT and IOS,3,【原因代码】: 3
bioinspired thermoreversible bioink orchestrates focal adhesion dependent osteogenesis,GB5W358W,Bioinspired thermoreversible bioink orchestrates focal adhesion-dependent osteogenesis,1,【原因代码】: 1
3d printed 13 93b3 borate bioactive glass hydroxypropyl methyl cellulose gelatin scaffolds with cerium oxide submicrometric particles for potential bone regeneration,Z5F5675I,3D printed 13-93B3 borate bioactive glass/hydroxypropyl methyl cellulose/gelatin scaffolds with cerium oxide submicrometric particles for potential bone regeneration,1,【原因代码】: 1
dexamethasone long term controlled release from injectable dual network hydrogels with porous microspheres immunomodulation promotes bone regeneration,4AC7V4HM,Dexamethasone Long-Term Controlled Release from Injectable Dual-Network Hydrogels with Porous Microspheres Immunomodulation Promotes Bone Regeneration,1,【原因代码】: 1
advancing towards sustainability in liquid crystal display 3d printing via adaptive slicing,N44U8CH7,Advancing towards sustainability in liquid crystal display 3D printing via adaptive slicing,3,【原因代码】: 3
comparison of dental arch forms created from assessment of teeth alveolar bone and the overlying soft tissue,T2XAI7S4,"Comparison of dental arch forms created from assessment of teeth, alveolar bone, and the overlying soft tissue",3,【原因代码】: 3
impact of 3d printing orientation on accuracy properties cost and time efficiency of additively manufactured dental models a systematic review,NGUJFIRV,"Impact of 3D printing orientation on accuracy, properties, cost, and time efficiency of additively manufactured dental models: a systematic review",2,【原因代码】: 2
a comparison of three perfusion algorithms in patients at risk of delayed cerebral ischemia after subarachnoid hemorrhage,Z26IMAZR,A Comparison of Three Perfusion Algorithms in Patients at Risk of Delayed Cerebral Ischemia After Subarachnoid Hemorrhage,1,【原因代码】: 1
digital dental biometrics for human identification based on automated 3d point cloud feature extraction and registration,QY8WZNYX,Digital Dental Biometrics for Human Identification Based on Automated 3D Point Cloud Feature Extraction and Registration,3,【原因代码】: 3
cervical tissue hydration level monitoring by a resonant microwave coaxial probe,UQEARA5K,Cervical Tissue Hydration Level Monitoring by a Resonant Microwave Coaxial Probe,1,【原因代码】: 1
effect of preparation design and scan pattern on the accuracy of intraoral scans for complete arch laminate veneers under simulated intraoral variables,X6ATHIVM,Effect of preparation design and scan pattern on the accuracy of intraoral scans for complete arch laminate veneers under simulated intraoral variables,3,【原因代码】: 3
comparison of convolutional neural network training strategies for cone beam ct image segmentation,NHCHR3BM,Comparison of convolutional neural network training strategies for cone-beam CT image segmentation,3,【原因代码】: 3
comparison between mixed reality with artificial algorithms and ultrasound in localization of anterior thigh flap perforators a prospective randomized controlled study,NQCLVM7Q,Comparison between mixed reality with artificial algorithms and ultrasound in localization of anterior thigh flap perforators: a prospective randomized controlled study,1,【原因代码】: 1
time resolved prediction of dental implant biomechanics through integration of finite element analysis osseointegration dynamics and deep learning,G9RBUHY9,"Time-resolved prediction of dental implant biomechanics through integration of finite element analysis, osseointegration dynamics, and deep learning",3,【原因代码】: 3
mri radiomics and machine learning for the prediction of oncotype dx recurrence score in invasive breast cancer,S4X9XUFL,MRI Radiomics and Machine Learning for the Prediction of Oncotype Dx Recurrence Score in Invasive Breast Cancer,1,【原因代码】: 1
integrated control strategy based on deep learning and process analytical technology for the manufacture of a triple fixed dose combination tablet,SYT2YLSI,Integrated control strategy based on deep learning and process analytical technology for the manufacture of a triple fixed-dose combination tablet,1,【原因代码】: 1
beyond static scaffolds glucose responsive hydrogels as dynamic intelligent platform for tissue engineering,RSC44WGI,Beyond static scaffolds: glucose-responsive hydrogels as dynamic intelligent platform for tissue engineering,1,【原因代码】: 1
universal hydrogel carrier enhances bone graft success preclinical and clinical evaluation,Z4T3ADUK,Universal Hydrogel Carrier Enhances Bone Graft Success: Preclinical and Clinical Evaluation,3,【原因代码】: 3
a custom cad cam resilient attachment a dental technique,IMV29YQ5,A custom CAD-CAM resilient attachment: A dental technique,3,【原因代码】: 3
pasegnet integrating dual awareness of position and boundary on 3d dental meshes for tooth instance segmentation,FVFBH2KA,PASegNet: Integrating dual awareness of position and boundary on 3D dental meshes for tooth instance segmentation,3,【原因代码】: 3
evaluation of daily ct for epid based transit in vivo dosimetry,LR5H7QAW,Evaluation of Daily CT for EPID-Based Transit In Vivo Dosimetry,1,【原因代码】: 1
from lab to life technological innovations in transforming cancer metastasis detection and therapy,T5XDG7U7,From lab to life: technological innovations in transforming cancer metastasis detection and therapy,1,【原因代码】: 1
performance comparison in workflow efficiency between a remotely installed 3d workstation and an on premises image processing workstation for dental cone beam ct image reconstruction,M6RAALB4,Performance comparison in workflow efficiency between a remotely installed 3D workstation and an on-premises image processing workstation for dental cone-beam CT image reconstruction,3,【原因代码】: 3
characterization of thermoresponsive methylcellulose based injectable hydrogels incorporating 58s bioactive glass for non load bearing bone regeneration,9D2EIIS2,Characterization of Thermoresponsive Methylcellulose-Based Injectable Hydrogels Incorporating 58S Bioactive Glass for Non-Load-Bearing Bone Regeneration,1,【原因代码】: 1
remote controlled magnetic stimulation of cell based bioengineered tissues for in situ bone regeneration,IRH364NW,Remote-Controlled Magnetic Stimulation of Cell-Based Bioengineered Tissues for In Situ Bone Regeneration,1,【原因代码】: 1
the design fabrication and clinical application of a universal donor tooth model in autotransplantation,QUM75BR7,"The design, fabrication, and clinical application of a universal donor tooth model in autotransplantation",3,【原因代码】: 3
watertight 2 manifold 3d bone surface model reconstruction from ct images based on visual hyper spherical mapping,4ZXJMZHN,Watertight 2-manifold 3D bone surface model reconstruction from CT images based on visual hyper-spherical mapping,1,【原因代码】: 1
two way mr forest based growing path classification for malignancy estimation of pulmonary nodules,PNCAU4SQ,Two-Way MR-Forest Based Growing Path Classification for Malignancy Estimation of Pulmonary Nodules,1,【原因代码】: 1
redescription of three basal anomodonts a phylogenetic reassessment of the holotype of eodicynodon oelofseni nmqr 2913,IHP5B529,Redescription of three basal anomodonts: a phylogenetic reassessment of the holotype of Eodicynodon oelofseni (NMQR 2913),1,【原因代码】: 1
augmented reality calibration using feature triangulation iteration based registration for surgical navigation,NFJ2DZJ6,Augmented reality calibration using feature triangulation iteration-based registration for surgical navigation,1,【原因代码】: 1
towards stem cell therapy for critical sized segmental bone defects current trends and challenges on the path to clinical translation,ZGNKACFT,Towards Stem Cell Therapy for Critical-Sized Segmental Bone Defects: Current Trends and Challenges on the Path to Clinical Translation,1,【原因代码】: 1
tooth colored cad cam materials for application in 3 unit fixed dental prostheses in the molar area an illustrated clinical comparison,P3IZEWV7,Tooth-Colored CAD/CAM Materials for Application in 3-Unit Fixed Dental Prostheses in the Molar Area: An Illustrated Clinical Comparison,3,【原因代码】: 3
assessing biomaterial induced stem cell lineage fate by machine learning based artificial intelligence,SFEG78VC,Assessing Biomaterial-Induced Stem Cell Lineage Fate by Machine Learning-Based Artificial Intelligence,1,【原因代码】: 1
diffusionnet plus plus a robust framework for high resolution 3d dental mesh segmentation,9KB33Y3B,DiffusionNet plus plus : A Robust Framework for High-Resolution 3D Dental Mesh Segmentation,3,【原因代码】: 3
intrinsic antibacterial and osteoinductive sterosomes promote infected bone healing,SHXEUBB9,Intrinsic antibacterial and osteoinductive sterosomes promote infected bone healing,1,【原因代码】: 1
3d digital modeling of dental casts from their 3d ct images with scatter and beam hardening correction,TJBIK4CW,3D Digital Modeling of Dental Casts from Their 3D CT Images with Scatter and Beam-Hardening Correction,3,【原因代码】: 3
drug loaded zeolite imidazole framework 8 functionalized bioglass scaffolds with antibacterial activity for bone repair,JB7FHYXL,Drug-loaded zeolite imidazole framework-8-functionalized bioglass scaffolds with antibacterial activity for bone repair,1,【原因代码】: 1
bdnf loaded pdadmac heparin multilayers a novel approach for neuroblastoma cell study,ARDMFN5F,BDNF-loaded PDADMAC-heparin multilayers: a novel approach for neuroblastoma cell study,1,【原因代码】: 1
circular rna itch an emerging multifunctional regulator,5BJSYVNC,Circular RNA ITCH: An Emerging Multifunctional Regulator,1,【原因代码】: 1
idnet a diffusion model enhanced framework for accurate cranio maxillofacial bone defect repair,CRTLD8EM,IDNet: A Diffusion Model-Enhanced Framework for Accurate Cranio-Maxillofacial Bone Defect Repair,3,【原因代码】: 3
optimized placement of sensor networks by machine learning for microclimate evaluation,YTNVC9S6,Optimized placement of sensor networks by machine learning for microclimate evaluation,1,【原因代码】: 1
evaluation of systemic and mucosal immune responses induced by a nasal powder delivery system in conjunction with an ova antigen in cynomolgus monkeys,Z6NX6RST,Evaluation of Systemic and Mucosal Immune Responses Induced by a Nasal Powder Delivery System in Conjunction with an OVA Antigen in Cynomolgus Monkeys,1,【原因代码】: 1
removable complete denture with a metal base integration of digital design and conventional fabrication techniques,UPIIQ5SQ,Removable complete denture with a metal base: Integration of digital design and conventional fabrication techniques,3,【原因代码】: 3
nmr based clinical metabolomics for predictive screening of gestational diabetes mellitus gdm during the first trimester a pilot study on north indian population,IMA6LIJS,NMR-based clinical metabolomics for predictive screening of gestational diabetes mellitus (GDM) during the first trimester: a pilot study on North Indian population,1,【原因代码】: 1
dimensional measurement accuracy of 3 dimensional models from cone beam computed tomography using different voxel sizes,BRDTGEI3,Dimensional measurement accuracy of 3-dimensional models from cone beam computed tomography using different voxel sizes,3,【原因代码】: 3
evaluation of zirconia and high performance polymer abutment surface roughness and stress concentration for implant supported fixed dental prostheses,S2SASU6I,Evaluation of Zirconia and High Performance Polymer Abutment Surface Roughness and Stress Concentration for Implant-Supported Fixed Dental Prostheses,3,【原因代码】: 3
soft tissue changes associated with class iii orthopaedic treatment in growing patients a systematic review and meta analysis,534R4TGE,Soft tissue changes associated with Class III orthopaedic treatment in growing patients: a systematic review and meta-analysis,2,【原因代码】: 2
addition of progesterone to feminizing gender affirming hormone therapy in transgender individuals for breast development a randomized controlled trial,F72QFWK7,Addition of progesterone to feminizing gender-affirming hormone therapy in transgender individuals for breast development: a randomized controlled trial,1,【原因代码】: 1
beyond silencing integrative multi omics and spatial profiling unravel the systems level role of pirnas in hbv driven hepatocarcinogenesis,I7M67463,Beyond silencing: integrative multi-omics and spatial profiling unravel the systems-level role of piRNAs in HBV-driven Hepatocarcinogenesis,1,【原因代码】: 1
computer assisted preoperative planning system with an automated registration method in prosthesis driven oral implantology,LQ9NU9KT,Computer-assisted preoperative planning system with an automated registration method in prosthesis-driven oral implantology,3,【原因代码】: 3
future space experiment platforms for astrobiology and astrochemistry research,8GTSHGAM,Future space experiment platforms for astrobiology and astrochemistry research,1,【原因代码】: 1
an explainable deep learning model for dental caries detection and segmentation,F9ZHLP87,An explainable deep learning model for dental caries detection and segmentation,3,【原因代码】: 3
what s in a nam,2IGXI3JV,What's in a NAM?,1,【原因代码】: 1
critical assessment of variant prioritization methods for rare disease diagnosis within the rare genomes project,9GK8UULZ,Critical assessment of variant prioritization methods for rare disease diagnosis within the rare genomes project,1,【原因代码】: 1
toward best practice in cancer mutation detection with whole genome and whole exome sequencing,V8MVPXY6,Toward best practice in cancer mutation detection with whole-genome and whole-exome sequencing,1,【原因代码】: 1
assessment of the fitness of removable partial denture frameworks manufactured using additive manufacturing selective laser melting,K24X7NTJ,Assessment of the fitness of removable partial denture frameworks manufactured using additive manufacturing/selective laser melting,3,【原因代码】: 3
3d printing vs conventional wax patterns a comparative in vitro study on retention of rpd framework,EXD2A2LP,3D printing vs. conventional wax patterns: a comparative in vitro study on retention of RPD framework,3,【原因代码】: 3
comparison between relining of ill fitted maxillary complete denture versus cad cam milling of new one regarding patient satisfaction denture retention and adaptation,4JN55E2T,"Comparison between relining of ill-fitted maxillary complete denture versus CAD/CAM milling of new one regarding patient satisfaction, denture retention and adaptation",3,【原因代码】: 3
enhancing airway obstruction diagnosis with multimodal 3d shape analysis,YTY8B4LH,Enhancing airway obstruction diagnosis with multimodal 3D shape analysis,3,【原因代码】: 3
diagnosis of obstructive sleep apnea with prediction of flow characteristics according to airway morphology automatically extracted from medical images computational fluid dynamics and artificial intelligence approach,7HJFTLY7,Diagnosis of obstructive sleep apnea with prediction of flow characteristics according to airway morphology automatically extracted from medical images: Computational fluid dynamics and artificial intelligence approach,1,【原因代码】: 1
assessment of reference areas for superimposition of serial 3d models of patients with advanced periodontitis for volumetric soft tissue evaluation,YJXEXZBL,Assessment of reference areas for superimposition of serial 3D models of patients with advanced periodontitis for volumetric soft tissue evaluation,3,【原因代码】: 3
geodesic heatmap based segmentation free framework for robust tooth landmark detection,3WUJLJWW,Geodesic heatmap-based segmentation-free framework for robust tooth landmark detection,3,【原因代码】: 3
diagnostic agreement between visual examination and an automated scanner system with fluorescence for detecting and classifying occlusal carious lesions in primary teeth,G3CI4KFG,Diagnostic agreement between visual examination and an automated scanner system with fluorescence for detecting and classifying occlusal carious lesions in primary teeth,3,【原因代码】: 3
a deep learning based framework for the registration of three dimensional multi modal medical images of the head,ZQTUXBVQ,A deep learning based framework for the registration of three dimensional multi-modal medical images of the head,1,【原因代码】: 1
multi view deep fusion for forensic dental age estimation in tomographic imaging,S9X9MBYM,Multi-view deep fusion for forensic dental age estimation in tomographic imaging,1,【原因代码】: 1
augmented reality assisted micro invasive apicectomy with markerless visual inertial odometry an in vivo pilot study,72VTFG8B,Augmented Reality-Assisted Micro-Invasive Apicectomy with Markerless Visual-Inertial Odometry: An In Vivo Pilot Study,3,【原因代码】: 3
new generation cad cam materials for implant supported definitive frameworks fabricated by using subtractive technologies,KRNC254H,New generation CAD-CAM materials for implant-supported definitive frameworks fabricated by using subtractive technologies,2,【原因代码】: 2
a review on the application of deep learning for ct reconstruction bone segmentation and surgical planning in oral and maxillofacial surgery,V7ZYEJG4,"A review on the application of deep learning for CT reconstruction, bone segmentation and surgical planning in oral and maxillofacial surgery",2,【原因代码】: 2
mixed reality combined with surgical navigation versus conventional navigation for resection of oral and maxillofacial tumors a comparative study,ZC52QN7Q,Mixed reality combined with surgical navigation versus conventional navigation for resection of oral and maxillofacial tumors: a comparative study,3,【原因代码】: 3
allocation and scheduling of digital dentistry services in a dental cloud manufacturing system,2WYXKJXF,Allocation and scheduling of digital dentistry services in a dental cloud manufacturing system,3,【原因代码】: 3
accuracy of endodontic access cavities performed using an augmented reality appliance an in vitro study,VIUWMA2F,Accuracy of Endodontic Access Cavities Performed Using an Augmented Reality Appliance: An In Vitro Study,3,【原因代码】: 3
an improved quaternary complementary gray code phase unwrapping method in fringe projection profilometry,QMFECUD4,An improved quaternary complementary Gray code phase unwrapping method in fringe projection profilometry,1,【原因代码】: 1
3d monitoring of toothbrushing regions and force using multimodal sensors and unity,SM98IZIT,3D Monitoring of Toothbrushing Regions and Force Using Multimodal Sensors and Unity,3,【原因代码】: 3
application of 3d tooth model for monitoring of implant space and inter root distance without radiographs a proof of concept study,FWBSJBCF,Application of 3D tooth model for monitoring of implant space and inter-root distance without radiographs: a proof of concept study,3,【原因代码】: 3
aquila particle swarm based cooperative search optimizer with superpixel techniques for epithelial layer segmentation,MLN8KSCM,Aquila-particle swarm based cooperative search optimizer with superpixel techniques for epithelial layer segmentation,3,【原因代码】: 3
the key technologies of a computer aided design system for removable partial denture frameworks,SNXN2D7A,The key technologies of a computer-aided design system for removable partial denture frameworks,3,【原因代码】: 3
3d distribution of dental plaque on occlusal surface using 2d fluorescence image to 3d surface registration,V48PVENJ,3D distribution of dental plaque on occlusal surface using 2D-fluorescence-image to 3D-surface registration,3,【原因代码】: 3
laboratory efficiency of additive manufacturing for removable denture frameworks a literature based review,R8UHSTK3,Laboratory efficiency of additive manufacturing for removable denture frameworks: A literature-based review,2,【原因代码】: 2
contemporary use of polymers in dentistry a narrative review,7WBHCBTC,Contemporary Use of Polymers in Dentistry: A Narrative Review,2,【原因代码】: 2
geometric accuracy of magnetic resonance imaging derived virtual 3 dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography a porcine cadaver study,4SXNSXGG,Geometric accuracy of magnetic resonance imaging-derived virtual 3-dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography: A porcine cadaver study,3,【原因代码】: 3
lmvsegrnn and poseidon3d addressing challenging teeth segmentation cases in 3d dental surface orthodontic scans,R7ISRWUL,LMVSegRNN and Poseidon3D: Addressing Challenging Teeth Segmentation Cases in 3D Dental Surface Orthodontic Scans,3,【原因代码】: 3
comparison of the overall fit of three unit posterior fixed dental prostheses fabricated with laser sintering and conventional casting methods,WTXDAWTN,Comparison of the overall fit of three-unit posterior fixed dental prostheses fabricated with laser sintering and conventional casting methods,3,【原因代码】: 3
accuracy of cad cam systems for removable partial denture framework fabrication a systematic review,HDHJW59L,Accuracy of CAD -CAM systems for removable partial denture framework fabrication: A systematic review,2,【原因代码】: 2
robust segmentation of partial and imperfect dental arches,TII25L59,Robust Segmentation of Partial and Imperfect Dental Arches,3,【原因代码】: 3
a robotic platform for navigated intraoperative 3d printing of patient specific implants,FZ7YD4JS,A robotic platform for navigated intraoperative 3D printing of patient-specific implants,1,【原因代码】: 1
advances in digital technologies in dental medicine enhancing precision in virtual articulators,PCJ6AFSN,Advances in Digital Technologies in Dental Medicine: Enhancing Precision in Virtual Articulators,2,【原因代码】: 2
effect of peri implant bone resorption on mechanical stress in the implant body in vivo measured load based finite element analysis,NJ5KK25B,Effect of peri-implant bone resorption on mechanical stress in the implant body: In vivo measured load-based finite element analysis,3,【原因代码】: 3
accuracy evaluation of dental cbct and scanned model registration method based on pulp horn mapping surface an in vitro proof of concept,2U8ZWJEZ,Accuracy evaluation of dental CBCT and scanned model registration method based on pulp horn mapping surface: an in vitro proof-of-concept,3,【原因代码】: 3
robot assisted augmented reality navigation for osteotomy and personalized guide plate in mandibular reconstruction a preclinical study,WVD49PF9,Robot-assisted augmented reality navigation for osteotomy and personalized guide-plate in mandibular reconstruction: a preclinical study,3,【原因代码】: 3
real time motion compensation for dynamic dental implant surgery,K25V69CH,Real-Time Motion Compensation for Dynamic Dental Implant Surgery,3,【原因代码】: 3
an overview of selective laser sintering 3d printing technology for biomedical and sports device applications processes materials and applications,KPAT4YHU,"An overview of selective laser sintering 3D printing technology for biomedical and sports device applications: Processes, materials, and applications",2,【原因代码】: 2
differentiation of benign and malignant oral lesions through surface texture analysis and svm modeling,BI5PRGUX,Differentiation of benign and malignant oral lesions through surface texture analysis and SVM modeling,3,【原因代码】: 3
evaluation of the fatigue strength of a cad cam nanoceramic resin crown on titanium and zirconia titanium abutments,G2ET6V96,Evaluation of the Fatigue Strength of a CAD-CAM Nanoceramic Resin Crown on Titanium and Zirconia-Titanium Abutments,3,【原因代码】: 3
passive fit and time efficiency for prefabricated versus conventionally constructed cobalt chromium cad textbackslashcam 3 unit implant supported frameworks in free end saddle models a pilot invitro study,8HPQKBVZ,Passive fit and time efficiency for prefabricated versus conventionally constructed cobalt chromium CAD\textbackslashCAM 3-unit implant supported frameworks in free end saddle models: a pilot invitro study,3,【原因代码】: 3
leveraging solid solubility and miscibility of etoricoxib in soluplus towards manufacturing of 3d printed etoricoxib tablets by additive manufacturing,5BZNI5MC,Leveraging solid solubility and miscibility of etoricoxib in Soluplus? towards manufacturing of 3D printed etoricoxib tablets by additive manufacturing,1,【原因代码】: 1
current development status of additive manufacturing technologies for fabricating removable partial denture frameworks a literature review,C73CFKZT,Current development status of additive manufacturing technologies for fabricating removable partial denture frameworks: a literature review,2,【原因代码】: 2
a deep learning framework for automated dental segmentation and diagnostic report generation from cone beam computed tomography,4BR99TM2,A deep learning framework for automated dental segmentation and diagnostic report generation from cone-beam computed tomography,3,【原因代码】: 3
dental implant abutment fracture resistance and wear induced by single unit screw retained cad components fabricated by four cam methods after mechanical cycling,IUBFVLSW,Dental implant-abutment fracture resistance and wear induced by single-unit screw-retained CAD components fabricated by four CAM methods after mechanical cycling,3,【原因代码】: 3
clinical performance of partial and full coverage fixed dental restorations fabricated from hybrid polymer and ceramic cad cam materials a systematic review and meta analysis,4LIEPYNX,Clinical Performance of Partial and Full-Coverage Fixed Dental Restorations Fabricated from Hybrid Polymer and Ceramic CAD/CAM Materials: A Systematic Review and Meta-Analysis,2,【原因代码】: 2
clinical application of an intraoral scanner and cad cam system for a kennedy class i partially edentulous patient,4HJ9WGCQ,Clinical application of an intraoral scanner and CAD/CAM system for a Kennedy class I partially edentulous patient,3,【原因代码】: 3
multi material 3d printing of a customized sports mouth guard proof of concept clinical case,IHJYACL8,Multi-Material 3D Printing of a Customized Sports Mouth Guard: Proof-of-Concept Clinical Case,3,【原因代码】: 3
a resource sharing approach for pss enabled additive manufacturing platform,MT46QW8Q,A resource sharing approach for PSS-enabled additive manufacturing platform,3,【原因代码】: 3
a rapid advancing image segmentation approach in dental to predict cryst,SD6KI78W,A Rapid Advancing Image Segmentation Approach in Dental to Predict Cryst,3,【原因代码】: 3
automatic segmentation of the carotid artery and internal jugular vein from 2d ultrasound images for 3d vascular reconstruction,8F7GPG9S,Automatic segmentation of the carotid artery and internal jugular vein from 2D ultrasound images for 3D vascular reconstruction,1,【原因代码】: 1
morphological comparison between artificial intelligence driven and manual cad design in single tooth restoration a preliminary study,345A5AVQ,Morphological comparison between artificial intelligence-driven and manual CAD design in single tooth restoration: a preliminary study,3,【原因代码】: 3
precise quantification of angiogenesis in 3d biomaterials using in vitro cam models enhancing 3rs in research and minimizing in vivo dependency,5E8EH5NC,Precise Quantification of Angiogenesis in 3D Biomaterials Using in Vitro CAM Models: Enhancing 3Rs in Research and Minimizing in Vivo Dependency,1,【原因代码】: 1
randomized clinical trial of the accuracy of patient specific implants versus cad cam splints in orthognathic surgery,KLY4HDFN,Randomized Clinical Trial of the Accuracy of Patient-Specific Implants versus CAD/CAM Splints in Orthognathic Surgery,3,【原因代码】: 3
exploring palatal and dental shape variation with 3d shape analysis and geometric deep learning,4KQH2TR5,Exploring palatal and dental shape variation with 3D shape analysis and geometric deep learning,3,【原因代码】: 3
validation of a novel tool for automated tooth modelling by fusion of cbct derived roots with the respective ios derived crowns,49PG86KL,Validation of a novel tool for automated tooth modelling by fusion of CBCT-derived roots with the respective IOS-derived crowns,3,【原因代码】: 3
the impact of open versus closed computer aided design computer aided manufacturing systems on the marginal gap of zirconia reinforced lithium silicate single crowns evaluated by scanning electron microscopy a comparative in vitro study,MWC6EET8,The Impact of Open versus Closed Computer-Aided Design/Computer-Aided Manufacturing Systems on the Marginal Gap of Zirconia-Reinforced Lithium Silicate Single Crowns Evaluated by Scanning Electron Microscopy: A Comparative In Vitro Study,3,【原因代码】: 3
maximizing the virtual surgical planning session for orthognathic surgery,TM39UHVG,Maximizing the Virtual Surgical Planning Session for Orthognathic Surgery,2,【原因代码】: 2
