_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
an end to end segmentation network for the temporomandibular joints cbct image based on 3d u net,An End-to-End Segmentation Network for the Temporomandibular Joints CBCT Image based on 3D U-Net,"2020 13th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",conferencePaper,NPUVHBWP,,EXCLUDE,EXCLUDE,"该研究仅提出并使用了自研的深度学习分割网络（""we proposed a novel end-to-end deep learning segmentation network based on 3D U-Net""），未在材料与方法中出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）的使用表述；证据片段中无 ""we used / were analysed using / imported into / processed in"" 等表明本研究使用具名第三方软件的原文。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究仅提出并使用了自研的深度学习分割网络（""we proposed a novel end-to-end deep learning segmentation network based on 3D U-Net""），未在材料与方法中出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）的使用表述；证据片段中无 ""we used / were analysed using / imported into / processed in"" 等表明本研究使用具名第三方软件的原文。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
computed tomography and 3 d face scan fusion for iot based diagnostic solutions,Computed Tomography and 3-D Face Scan Fusion for IoT-Based Diagnostic Solutions,IEEE Internet of Things Journal,journalArticle,PEXP9FTE,,EXCLUDE,EXCLUDE,"证据片段中仅描述 ""Deep point neural networks are used to extract feature points and a threshold iterative closest point algorithm performing registration""，属于自研算法/自建深度学习模型，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）被本研究使用的表述（无 ""we used / imported into / processed in"" 等指向具体软件名的证据）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅描述 ""Deep point neural networks are used to extract feature points and a threshold iterative closest point algorithm performing registration""，属于自研算法/自建深度学习模型，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）被本研究使用的表述（无 ""we used / imported into / processed in"" 等指向具体软件名的证据）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
ai based anatomical landmark recognition for robot assisted dynamic dental implant surgery,AI-Based Anatomical Landmark Recognition for Robot-Assisted Dynamic Dental Implant Surgery,2025 IEEE 21st International Conference on Intelligent Computer Communication and Processing (ICCP),conferencePaper,PSHQCDCF,,EXCLUDE,EXCLUDE,"证据片段显示该研究使用 Unity 进行三维可视化与配准（""registered to a preoperative STL model ... using Unity""、""A graphical user interface (GUI), developed in Unity""），但 Unity 属于游戏/实时3D开发引擎，不属于纳入标准所列的用于3D数据处理、分析、建模或测量的第三方非牙科3D软件范畴；且核心方法为自研 YOLOv11 深度学习模型，未使用具名第三方非牙科3D软件进行3D数据处理/分析/建模/测量。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段显示该研究使用 Unity 进行三维可视化与配准（""registered to a preoperative STL model ... using Unity""、""A graphical user interface (GUI), developed in Unity""），但 Unity 属于游戏/实时3D开发引擎，不属于纳入标准所列的用于3D数据处理、分析、建模或测量的第三方非牙科3D软件范畴；且核心方法为自研 YOLOv11 深度学习模型，未使用具名第三方非牙科3D软件进行3D数据处理/分析/建模/测量。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
morphology prior enhanced teeth segmentation for high resolution oral scans,Morphology Prior Enhanced Teeth Segmentation for High-Resolution Oral Scans,IEEE Journal of Biomedical and Health Informatics,journalArticle,QVL4MH44,,EXCLUDE,EXCLUDE,"证据片段仅描述自研深度学习框架（""a morphology prior enhanced teeth segmentation framework is proposed in this paper""），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述自研深度学习框架（""a morphology prior enhanced teeth segmentation framework is proposed in this paper""），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
research on denture feature matching point cloud data based on deep learning,Research on Denture Feature Matching Point Cloud Data Based on Deep Learning,"2023 6th International Conference on Computer Network, Electronic and Automation (ICCNEA)",conferencePaper,Q6XWVERF,,EXCLUDE,EXCLUDE,"证据片段仅描述该研究引入 EdgeConv 结构改进网络用于义齿点云匹配，并与传统 ICP 算法、PCRNet 网络进行比较；未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。该研究使用的是自研/自建深度学习网络，缺少""使用具名第三方非牙科3D软件""的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述该研究引入 EdgeConv 结构改进网络用于义齿点云匹配，并与传统 ICP 算法、PCRNet 网络进行比较；未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。该研究使用的是自研/自建深度学习网络，缺少""使用具名第三方非牙科3D软件""的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
exploring the use of neural networks for early detection of oral cancer and other dental pathologies,Exploring the Use of Neural Networks for Early Detection of Oral Cancer and Other Dental Pathologies,2025 5th International Conference on Expert Clouds and Applications (ICOECA),conferencePaper,JPBKZHXW,,EXCLUDE,EXCLUDE,"证据片段仅泛述深度学习模型（CNN、ResNet、InceptionV3、DenseNet、InResNet）及他人研究（""It was found that the AI model can significantly decrease...""），未出现任何具名第三方非牙科3D软件，也无 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用某具名3D软件的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅泛述深度学习模型（CNN、ResNet、InceptionV3、DenseNet、InResNet）及他人研究（""It was found that the AI model can significantly decrease...""），未出现任何具名第三方非牙科3D软件，也无 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用某具名3D软件的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
center sensitive and boundary aware tooth instance segmentation and classification from cone beam ct,Center-Sensitive and Boundary-Aware Tooth Instance Segmentation and Classification from Cone-Beam CT,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),conferencePaper,QW4BJKGI,,EXCLUDE,EXCLUDE,"证据片段仅描述该研究提出自研的两级层次深度神经网络（DenseASPP-UNet）及自研损失函数与标签优化方法，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP、MATLAB 等）被""we used / were analysed using / imported into / processed in""等表述表明本研究自身使用的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述该研究提出自研的两级层次深度神经网络（DenseASPP-UNet）及自研损失函数与标签优化方法，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP、MATLAB 等）被""we used / were analysed using / imported into / processed in""等表述表明本研究自身使用的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a fully automated method for 3d individual tooth identification and segmentation in dental cbct,A Fully Automated Method for 3D Individual Tooth Identification and Segmentation in Dental CBCT,IEEE Transactions on Pattern Analysis and Machine Intelligence,journalArticle,EM5WIF9M,,EXCLUDE,EXCLUDE,"证据片段仅描述该研究提出了一种基于深度学习的分层多步模型（""developing a deep learning-based hierarchical multi-step model""），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。缺失表明本研究自身使用了具名第三方非牙科3D软件的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述该研究提出了一种基于深度学习的分层多步模型（""developing a deep learning-based hierarchical multi-step model""），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。缺失表明本研究自身使用了具名第三方非牙科3D软件的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
vit nebla a hybrid vision transformer and neural beer lambert framework for single view 3d reconstruction of oral anatomy from panoramic radiographs,ViT-NeBLa: A Hybrid Vision Transformer and Neural Beer–Lambert Framework for Single-View 3D Reconstruction of Oral Anatomy From Panoramic Radiographs,IEEE Access,journalArticle,JX7Z45RP,,EXCLUDE,EXCLUDE,"证据片段仅显示该研究提出自研框架 ViT-NeBLa（Vision-Transformer Neural Beer–Lambert），使用自建深度学习模型（ViT–CNN backbone、MLP、hash positional encoding）进行3D重建；未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被""we used / imported into / processed in""等表述表明本研究自身使用的证据。片段中出现的 Carestream CS9000、Planmeca VISOG7 为CBCT扫描设备，非3D处理软件。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅显示该研究提出自研框架 ViT-NeBLa（Vision-Transformer Neural Beer–Lambert），使用自建深度学习模型（ViT–CNN backbone、MLP、hash positional encoding）进行3D重建；未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被""we used / imported into / processed in""等表述表明本研究自身使用的证据。片段中出现的 Carestream CS9000、Planmeca VISOG7 为CBCT扫描设备，非3D处理软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
tooth segmentation of dental mesh based on improved region growing,Tooth Segmentation of Dental Mesh Based on Improved Region Growing,2021 IEEE International Conference on Real-time Computing and Robotics (RCAR),conferencePaper,YHB9JYVX,,EXCLUDE,INCLUDE,"""Considering that curvature calculation is not our concern, we directly go to MeshLab [2] for easy access.""",MeshLab,Orthodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""Considering that curvature calculation is not our concern, we directly go to MeshLab [2] for easy access.""
【软件】: MeshLab
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
facescape 3d facial dataset and benchmark for single view 3d face reconstruction,FaceScape: 3D Facial Dataset and Benchmark for Single-View 3D Face Reconstruction,IEEE Transactions on Pattern Analysis and Machine Intelligence,journalArticle,V76TVNA8,,EXCLUDE,EXCLUDE,"证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in"" 等）；仅提及自建多视角重建系统与自研算法，无具名第三方3D软件使用证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in"" 等）；仅提及自建多视角重建系统与自研算法，无具名第三方3D软件使用证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
estimating reference bony shape models for orthognathic surgical planning using 3d point cloud deep learning,Estimating Reference Bony Shape Models for Orthognathic Surgical Planning Using 3D Point-Cloud Deep Learning,IEEE Journal of Biomedical and Health Informatics,journalArticle,Z4HUPXT9,,EXCLUDE,EXCLUDE,"该研究为自研端到端深度学习框架（""We propose an end-to-end deep learning framework""），使用自建点云网络（PointConv 等作为网络组件），未在材料与方法中出现""we used / were analysed using / imported into / processed in""等表述表明本研究使用了具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量；文中出现的 PointNet、PointNet++、MoNet 等均为他文引用/相关工作泛述，非本研究使用的第三方软件。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究为自研端到端深度学习框架（""We propose an end-to-end deep learning framework""），使用自建点云网络（PointConv 等作为网络组件），未在材料与方法中出现""we used / were analysed using / imported into / processed in""等表述表明本研究使用了具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量；文中出现的 PointNet、PointNet++、MoNet 等均为他文引用/相关工作泛述，非本研究使用的第三方软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
adaptvr an adaptive learning vr system for dental students training,AdaptVR: An Adaptive Learning VR System for Dental Students Training,2024 International Conference on Computer and Applications (ICCA),conferencePaper,SUJ9NJWN,,EXCLUDE,EXCLUDE,"证据片段显示该研究使用 Unity 3D 开发 VR 培训系统（""AdaptVR utilizes Oculus Quest 2VR headset with Unity IDE""），但 Unity 是游戏/应用开发引擎，且该研究为自研 VR 系统，未使用纳入标准所列的具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）进行3D数据的处理、分析、建模或测量；缺失""本研究自身使用具名第三方非牙科3D软件""的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段显示该研究使用 Unity 3D 开发 VR 培训系统（""AdaptVR utilizes Oculus Quest 2VR headset with Unity IDE""），但 Unity 是游戏/应用开发引擎，且该研究为自研 VR 系统，未使用纳入标准所列的具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）进行3D数据的处理、分析、建模或测量；缺失""本研究自身使用具名第三方非牙科3D软件""的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
virtueledent a compact xr tooth cutting training system using a physical emr based dental handpiece and teeth model,VirtuEleDent: A Compact XR Tooth-Cutting Training System Using a Physical EMR-based Dental Handpiece and Teeth Model,2025 IEEE Conference Virtual Reality and 3D User Interfaces (VR),conferencePaper,PA5RZYVZ,,EXCLUDE,EXCLUDE,证据片段中仅出现 Unity（游戏引擎，用于渲染 VR 训练环境），未出现任何具名第三方非牙科三维软件用于 3D 数据的处理、分析、建模或测量；文中提及的 3D Systems Openhaptics Unity Plugin 属于触觉设备插件，且用于对比系统而非本研究自身的数据处理。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 Unity（游戏引擎，用于渲染 VR 训练环境），未出现任何具名第三方非牙科三维软件用于 3D 数据的处理、分析、建模或测量；文中提及的 3D Systems Openhaptics Unity Plugin 属于触觉设备插件，且用于对比系统而非本研究自身的数据处理。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
empowering rural and suburban dental care with open source image processing,Empowering Rural and Suburban Dental Care with Open-Source Image Processing,2023 Seventh International Conference on Image Information Processing (ICIIP),conferencePaper,25UHEYRE,,EXCLUDE,EXCLUDE,"片段中 ""Synopsys simpleware software is used for medical image processing purposes and 3D and 2D levels..."" 为泛述性描述，未使用 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用该软件的表述；且该片段疑似来自会议论文正文的综述性段落，非本研究材料与方法。此外文献类型为会议论文（conference paper），不符合原创研究/技术说明/病例报告的要求。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 片段中 ""Synopsys simpleware software is used for medical image processing purposes and 3D and 2D levels..."" 为泛述性描述，未使用 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用该软件的表述；且该片段疑似来自会议论文正文的综述性段落，非本研究材料与方法。此外文献类型为会议论文（conference paper），不符合原创研究/技术说明/病例报告的要求。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
an automatic method for tooth segmentation from cbct images,An automatic method for tooth segmentation from CBCT images,2025 IEEE 12th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),conferencePaper,6JRF9VV5,,EXCLUDE,EXCLUDE,"证据片段仅显示该研究提出基于 V-Net 的两阶段分割框架（自建深度学习模型），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP 等）被""we used / were analysed using / imported into / processed in""等表述表明本研究自身使用的证据；缺失""本研究使用具名第三方非牙科3D软件""的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅显示该研究提出基于 V-Net 的两阶段分割框架（自建深度学习模型），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP 等）被""we used / were analysed using / imported into / processed in""等表述表明本研究自身使用的证据；缺失""本研究使用具名第三方非牙科3D软件""的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
efficient computer aided design of dental inlay restoration a deep adversarial framework,Efficient Computer-Aided Design of Dental Inlay Restoration: A Deep Adversarial Framework,IEEE Transactions on Medical Imaging,journalArticle,5TCS8KAX,,EXCLUDE,EXCLUDE,"证据片段仅描述该研究设计了自研的 DAIS 深度学习框架（WGAN + 局部-全局判别器），未出现 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用了某个具名第三方非牙科3D软件的表述；文中提及的 CAD 系统、Pix2Pix、Laplacian surface editing 等均为泛述或他文引用。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述该研究设计了自研的 DAIS 深度学习框架（WGAN + 局部-全局判别器），未出现 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用了某个具名第三方非牙科3D软件的表述；文中提及的 CAD 系统、Pix2Pix、Laplacian surface editing 等均为泛述或他文引用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
3d dental biometrics automatic pose invariant dental arch extraction and matching,3D Dental Biometrics: Automatic Pose-invariant Dental Arch Extraction and Matching,2020 25th International Conference on Pattern Recognition (ICPR),conferencePaper,VHPL5MDY,,EXCLUDE,EXCLUDE,"证据片段中仅提及扫描设备 ""Minolta VIVID 900 Surface Laser Scanner"" 及自研算法 ""Radial Ray Algorithm (RRA)""，未出现任何本研究自身使用的具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）的表述；""we use different hardware and software"" 属泛述，未指明具体软件名。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅提及扫描设备 ""Minolta VIVID 900 Surface Laser Scanner"" 及自研算法 ""Radial Ray Algorithm (RRA)""，未出现任何本研究自身使用的具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）的表述；""we use different hardware and software"" 属泛述，未指明具体软件名。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
segmenting the inferior alveolar canal in cbct volumes the toothfairy challenge,Segmenting the Inferior Alveolar Canal in CBCT Volumes: The ToothFairy Challenge,IEEE Transactions on Medical Imaging,journalArticle,2L78YVVC,,EXCLUDE,EXCLUDE,"证据片段仅显示该文献为 ToothFairy 挑战赛的综述性/比较评估论文（""This paper presents the details of the challenge and the contributions made by the most promising methods proposed by the participants""），未出现任何表明本研究自身在材料与方法中使用某一具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅显示该文献为 ToothFairy 挑战赛的综述性/比较评估论文（""This paper presents the details of the challenge and the contributions made by the most promising methods proposed by the participants""），未出现任何表明本研究自身在材料与方法中使用某一具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
surgnavar an augmented reality surgical navigation framework for optical see through head mounted displays,SurgNavAR: An Augmented Reality Surgical Navigation Framework for Optical See-Through Head Mounted Displays,IEEE Transactions on Visualization and Computer Graphics,journalArticle,KWUMDHWD,,EXCLUDE,EXCLUDE,"片段中出现的具名软件（Brainlab Kick、Stryker NAV3i、Medtronic StealthStation、ClaroNav Navient）仅出现在对""Conventional navigation systems""的泛述/他文引用中，未表明本研究自身使用；本研究实际使用的是自研框架（基于 Unity、MRTK3、Vuforia-Unity SDK、ArUco/AprilTag 等自建/自研集成），未使用纳入标准所要求的具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 片段中出现的具名软件（Brainlab Kick、Stryker NAV3i、Medtronic StealthStation、ClaroNav Navient）仅出现在对""Conventional navigation systems""的泛述/他文引用中，未表明本研究自身使用；本研究实际使用的是自研框架（基于 Unity、MRTK3、Vuforia-Unity SDK、ArUco/AprilTag 等自建/自研集成），未使用纳入标准所要求的具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
dental disease detection and classification in radiograph images using deep learning model,Dental Disease Detection and Classification in Radiograph Images using Deep Learning Model,"2023 5th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",conferencePaper,86Y8P3DG,,EXCLUDE,EXCLUDE,"证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究自身使用的表述；仅提及深度学习/CNN模型与图像分割分类方法，无 ""we used / were analysed using / imported into / processed in"" 等表明本研究使用具名第三方3D软件的原文。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究自身使用的表述；仅提及深度学习/CNN模型与图像分割分类方法，无 ""we used / were analysed using / imported into / processed in"" 等表明本研究使用具名第三方3D软件的原文。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
innovative applications of ai and 3d printing in digital dentistry enhancing accuracy and efficiency in dental care,Innovative Applications of AI and 3D Printing in Digital Dentistry: Enhancing Accuracy and Efficiency in Dental Care,"2024 International Conference on Identification, Information and Knowledge in the Internet of Things (IIKI)",conferencePaper,SYTQBUTQ,,EXCLUDE,EXCLUDE,"证据片段中 Autodesk Meshmixer 仅出现在泛述性引用中（""For example, Autodesk Meshmixer and Cura provide customizable options where users can adjust parameters like support angle, density, and placement [19]""），属于他文引用/泛述，未表明本研究自身使用该软件；本研究实际使用的是自研 AI 框架与 autoencoder，无具名第三方非牙科3D软件的本研究使用证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中 Autodesk Meshmixer 仅出现在泛述性引用中（""For example, Autodesk Meshmixer and Cura provide customizable options where users can adjust parameters like support angle, density, and placement [19]""），属于他文引用/泛述，未表明本研究自身使用该软件；本研究实际使用的是自研 AI 框架与 autoencoder，无具名第三方非牙科3D软件的本研究使用证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
3d face reconstruction algorithm based on lightweight attention mechanism,3D Face Reconstruction Algorithm Based on Lightweight Attention Mechanism,2024 International Conference on Artificial Intelligence and Digital Technology (ICAIDT),conferencePaper,WRIGRGC8,,EXCLUDE,EXCLUDE,"证据片段仅描述自研算法（""We developed a three-dimensional face reconstruction algorithm based on light attention""），未出现任何具名第三方非牙科3D软件的使用表述（如 ""we used / were analysed using / imported into / processed in""）；片段中出现的软件/文献名仅见于参考文献列表。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述自研算法（""We developed a three-dimensional face reconstruction algorithm based on light attention""），未出现任何具名第三方非牙科3D软件的使用表述（如 ""we used / were analysed using / imported into / processed in""）；片段中出现的软件/文献名仅见于参考文献列表。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a method of dental model segmentation based on shortest path,A method of dental model segmentation based on shortest path,2021 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA),conferencePaper,U67VEFUR,,EXCLUDE,EXCLUDE,"证据片段仅描述自研算法（""a new method based on the traditional Dijkstra shortest path algorithm with Sigmoid curvature transformation is proposed""），未出现任何具名第三方非牙科3D软件被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）；片段中提及的 harmonic field、random walk、watershed、3Dsnake 均为方法学泛述或他文引用，非具名软件。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述自研算法（""a new method based on the traditional Dijkstra shortest path algorithm with Sigmoid curvature transformation is proposed""），未出现任何具名第三方非牙科3D软件被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）；片段中提及的 harmonic field、random walk、watershed、3Dsnake 均为方法学泛述或他文引用，非具名软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
advancements in fourth generation endodontic apex locators for enhanced precision in root canal treatments,Advancements in Fourth-Generation Endodontic Apex Locators for Enhanced Precision in Root Canal Treatments,2024 3rd International Congress of Biomedical Engineering and Bioengineering (CIIBBI),conferencePaper,JSGZDD7T,,EXCLUDE,EXCLUDE,"片段仅泛述 ""The device housing was designed using CAD software""，未指明任何具名第三方非牙科3D软件（如 SolidWorks、AutoCAD、Fusion 360 等），且软件部分为自研固件（C）与网页界面（HTML5/CSS/JavaScript），无具名第三方3D软件被本研究使用。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 片段仅泛述 ""The device housing was designed using CAD software""，未指明任何具名第三方非牙科3D软件（如 SolidWorks、AutoCAD、Fusion 360 等），且软件部分为自研固件（C）与网页界面（HTML5/CSS/JavaScript），无具名第三方3D软件被本研究使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
3dcmm 3d comprehensive morphable models with uv unet for accurate head creation,3DCMM: 3D Comprehensive Morphable Models With UV-UNet for Accurate Head Creation,IEEE Transactions on Multimedia,journalArticle,ANNASBNI,,EXCLUDE,EXCLUDE,"证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身使用的表述；仅提及自研方法（3DCMM、UV-UNet）及算法（NICP、GPA、PCA、FAN），无 ""we used / imported into / processed in"" 等使用具名第三方3D软件的原文。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身使用的表述；仅提及自研方法（3DCMM、UV-UNet）及算法（NICP、GPA、PCA、FAN），无 ""we used / imported into / processed in"" 等使用具名第三方3D软件的原文。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
advanced teeth instance segmentation using contextual spatial attention and deeper mask head,Advanced Teeth Instance Segmentation Using Contextual Spatial Attention and Deeper Mask Head,2025 IEEE International Conference on Consumer Electronics (ICCE),conferencePaper,ZQ5HLDN3,,EXCLUDE,EXCLUDE,"证据片段仅描述自研框架 Seg-CSAB（""a novel framework that integrates the CSAB with dilated convolutions""），未出现任何具名第三方非牙科3D软件，也无 ""we used / were analysed using / imported into / processed in"" 等表明本研究使用某具名第三方软件的表述；Yolov8 与 Mask R-CNN 仅作为对比的 SOTA 方法提及，非本研究所用第三方3D软件。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅描述自研框架 Seg-CSAB（""a novel framework that integrates the CSAB with dilated convolutions""），未出现任何具名第三方非牙科3D软件，也无 ""we used / were analysed using / imported into / processed in"" 等表明本研究使用某具名第三方软件的表述；Yolov8 与 Mask R-CNN 仅作为对比的 SOTA 方法提及，非本研究所用第三方3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
3dfacesculptor a common framework for image guided 3d face deformation,3DFaceSculptor: A Common Framework for Image-Guided 3D Face Deformation,IEEE Transactions on Visualization and Computer Graphics,journalArticle,5KGSFDRI,,EXCLUDE,EXCLUDE,"主题为计算机图形学/3D人脸编辑（非口腔医学）；且证据片段中 Blender 仅出现在参考文献列表（[61] B. O. Community, ""Blender""）及泛述中，未表明本研究自身在材料与方法中使用该软件处理口腔3D数据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 主题为计算机图形学/3D人脸编辑（非口腔医学）；且证据片段中 Blender 仅出现在参考文献列表（[61] B. O. Community, ""Blender""）及泛述中，未表明本研究自身在材料与方法中使用该软件处理口腔3D数据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
tooth motion monitoring in orthodontic treatment by mobile device based multi view stereo,Tooth Motion Monitoring in Orthodontic Treatment by Mobile Device-Based Multi-View Stereo,IEEE Transactions on Visualization and Computer Graphics,journalArticle,TH6PYK56,,EXCLUDE,EXCLUDE,"证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in"" 等）；片段仅提及自研框架、DM 商业产品及参考文献中的软件/方法，缺乏本研究使用具名第三方3D软件的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in"" 等）；片段仅提及自研框架、DM 商业产品及参考文献中的软件/方法，缺乏本研究使用具名第三方3D软件的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
