_nt,Title,期刊,Item Type,原流程原因,判定,判定理由,专科,应用场景,软件,研究设计,原始返回
multi view deep learning for mandibular landmark localization,Multi-view deep learning for mandibular landmark localization,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 Mimics 24.0 进行CBCT骨掩膜提取与下颌骨分割，并使用 Geomagic Wrap 2021 进行表面修复与重网格化处理。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Mimics; Geomagic Wrap,computational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 Mimics 24.0 进行CBCT骨掩膜提取与下颌骨分割，并使用 Geomagic Wrap 2021 进行表面修复与重网格化处理。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics; Geomagic Wrap
【研究设计】: computational"
surgical navigation augmented reality and 3d printing for hard palate adenoid cystic carcinoma en bloc resection case report and literature review,"Surgical Navigation, Augmented Reality, and 3D Printing for Hard Palate Adenoid Cystic Carcinoma En-Bloc Resection: Case Report and Literature Review",FRONTIERS IN ONCOLOGY,journalArticle,Not an original research report,INCLUDE,该病例报告自身在方法中使用 Autodesk Meshmixer 扩大肿瘤模型以确定手术切缘，并基于 3D Slicer 开发了定制手术导航模块。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,Autodesk Meshmixer; 3D Slicer,case_report,"【判定】: INCLUDE
【判定理由】: 该病例报告自身在方法中使用 Autodesk Meshmixer 扩大肿瘤模型以确定手术切缘，并基于 3D Slicer 开发了定制手术导航模块。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: Autodesk Meshmixer; 3D Slicer
【研究设计】: case_report"
vertical and horizontal ridge augmentation using customized three dimensionally printed polycaprolactone mesh in atrophic posterior maxillae a case report,Vertical and Horizontal Ridge Augmentation Using Customized Three-Dimensionally Printed Polycaprolactone Mesh in Atrophic Posterior Maxillae: A Case Report,JOURNAL OF ORAL IMPLANTOLOGY,journalArticle,Not an original research report,INCLUDE,该病例报告在方法中明确使用通用CAD软件 PowerShape (Autodesk) 设计患者个性化PCL网格，属非牙科专用3D软件用于3D建模。,Oral and Maxillofacial Surgery,Digital design and manufacturing,PowerShape,case_report,"【判定】: INCLUDE
【判定理由】: 该病例报告在方法中明确使用通用CAD软件 PowerShape (Autodesk) 设计患者个性化PCL网格，属非牙科专用3D软件用于3D建模。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【软件】: PowerShape
【研究设计】: case_report"
mandible segmentation of dental cbct scans affected by metal artifacts using coarse to fine learning model,Mandible Segmentation of Dental CBCT Scans Affected by Metal Artifacts Using Coarse-to-Fine Learning Model,JOURNAL OF PERSONALIZED MEDICINE,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明金标准标签由研究者使用 Mimics software 20.0 手动分割 CBCT/CT 扫描创建，属于该研究自身方法中使用非牙科专用3D软件。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,Mimics,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明金标准标签由研究者使用 Mimics software 20.0 手动分割 CBCT/CT 扫描创建，属于该研究自身方法中使用非牙科专用3D软件。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: computational"
mandibular extracellular vesicles mediate morphogenesis and mineralization of tooth germs in miniature swine through the mir 206 hdac4 signaling axis,Mandibular extracellular vesicles mediate morphogenesis and mineralization of tooth germs in miniature swine through the miR-206/HDAC4 signaling axis,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,"方法部分明确说明""3D reconstructions and mineralization analyses were performed in Mimics Research 21.0 (Materialise)""，即该研究自身使用非牙科专用软件 Mimics 进行3D重建与分析。",Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Mimics,clinical,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明""3D reconstructions and mineralization analyses were performed in Mimics Research 21.0 (Materialise)""，即该研究自身使用非牙科专用软件 Mimics 进行3D重建与分析。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: clinical"
time resolved prediction of dental implant biomechanics through integration of finite element analysis osseointegration dynamics and deep learning,"Time-resolved prediction of dental implant biomechanics through integration of finite element analysis, osseointegration dynamics, and deep learning",JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明种植体几何在 SolidWorks® 中建模并导入 ANSYS® Workbench (R1 2024) 进行有限元分析，属研究自身使用非牙科3D软件。,Implantology,Biomechanical analysis and simulation,SolidWorks; ANSYS,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明种植体几何在 SolidWorks® 中建模并导入 ANSYS® Workbench (R1 2024) 进行有限元分析，属研究自身使用非牙科3D软件。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: SolidWorks; ANSYS
【研究设计】: computational"
influence of the preparation design on the survival probability of occlusal veneers,Influence of the preparation design on the survival probability of occlusal veneers,DENTAL MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 ITK-SNAP 进行分割、Fiji 转换 micro-CT 数据、Iso2mesh/Octave 生成网格、Z88 进行有限元分析。,Prosthodontics,Biomechanical analysis and simulation,ITK-SNAP; Fiji; Iso2mesh; Octave; Z88,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 ITK-SNAP 进行分割、Fiji 转换 micro-CT 数据、Iso2mesh/Octave 生成网格、Z88 进行有限元分析。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: ITK-SNAP; Fiji; Iso2mesh; Octave; Z88
【研究设计】: computational"
digital dental biometrics for human identification based on automated 3d point cloud feature extraction and registration,Digital Dental Biometrics for Human Identification Based on Automated 3D Point Cloud Feature Extraction and Registration,BIOENGINEERING-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确使用 MeshLab v2020.09 计算牙齿模型曲率，并使用 CloudCompare v2.10 提取特征点云。,Forensic Odontology,Morphological and phenotypic analysis,MeshLab; CloudCompare,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确使用 MeshLab v2020.09 计算牙齿模型曲率，并使用 CloudCompare v2.10 提取特征点云。
【专科】: Forensic Odontology
【应用场景】: Morphological and phenotypic analysis
【软件】: MeshLab; CloudCompare
【研究设计】: computational"
effect of preparation design and scan pattern on the accuracy of intraoral scans for complete arch laminate veneers under simulated intraoral variables,Effect of preparation design and scan pattern on the accuracy of intraoral scans for complete arch laminate veneers under simulated intraoral variables,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用非牙科专用3D分析软件 Geomagic Control X 对 STL 文件进行配准和 3D 偏差分析以评估扫描精度。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用非牙科专用3D分析软件 Geomagic Control X 对 STL 文件进行配准和 3D 偏差分析以评估扫描精度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
evaluation of zirconia and high performance polymer abutment surface roughness and stress concentration for implant supported fixed dental prostheses,Evaluation of Zirconia and High Performance Polymer Abutment Surface Roughness and Stress Concentration for Implant-Supported Fixed Dental Prostheses,COATINGS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Rhinoceros 5.0 建模并导出至 ANSYS 19.0 进行有限元应力分析，属自身使用非牙科专用3D软件。,Prosthodontics,Biomechanical analysis and simulation,Rhinoceros; ANSYS,computational,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Rhinoceros 5.0 建模并导出至 ANSYS 19.0 进行有限元应力分析，属自身使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Rhinoceros; ANSYS
【研究设计】: computational"
dimensional measurement accuracy of 3 dimensional models from cone beam computed tomography using different voxel sizes,Dimensional measurement accuracy of 3-dimensional models from cone beam computed tomography using different voxel sizes,ORAL SURGERY ORAL MEDICINE ORAL PATHOLOGY ORAL RADIOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 3D Slicer 4.8.1 将 CBCT DICOM 转换为 STL 模型，并使用 Geomagic Qualify 进行几何变换与数据分析。,Oral and Maxillofacial Radiology,3D data analysis and accuracy assessment,3D Slicer; Geomagic Qualify,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 3D Slicer 4.8.1 将 CBCT DICOM 转换为 STL 模型，并使用 Geomagic Qualify 进行几何变换与数据分析。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: 3D Slicer; Geomagic Qualify
【研究设计】: in_vitro"
comparison between relining of ill fitted maxillary complete denture versus cad cam milling of new one regarding patient satisfaction denture retention and adaptation,"Comparison between relining of ill-fitted maxillary complete denture versus CAD/CAM milling of new one regarding patient satisfaction, denture retention and adaptation",BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 Geomagic Control X 软件对义齿组织面与口内扫描 STL 文件进行翻转、配准叠加并计算 RMS 以评估义齿适配性。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 Geomagic Control X 软件对义齿组织面与口内扫描 STL 文件进行翻转、配准叠加并计算 RMS 以评估义齿适配性。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: clinical"
augmented reality assisted micro invasive apicectomy with markerless visual inertial odometry an in vivo pilot study,Augmented Reality-Assisted Micro-Invasive Apicectomy with Markerless Visual-Inertial Odometry: An In Vivo Pilot Study,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Mimics 22.0 进行 CBCT 分割，并使用 MeshLab 2023.12 进行刚性叠加配准。,Endodontics,Surgical planning and precise implementation,Mimics; MeshLab,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Mimics 22.0 进行 CBCT 分割，并使用 MeshLab 2023.12 进行刚性叠加配准。
【专科】: Endodontics
【应用场景】: Surgical planning and precise implementation
【软件】: Mimics; MeshLab
【研究设计】: clinical"
idnet a diffusion model enhanced framework for accurate cranio maxillofacial bone defect repair,IDNet: A Diffusion Model-Enhanced Framework for Accurate Cranio-Maxillofacial Bone Defect Repair,BIOENGINEERING-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,"全文方法部分明确说明使用 3D Slicer 软件在3D重建颅骨上创建缺损（""21 distinct defects were created on each 3D reconstructed skull using 3D Slicer software""），属研究自身方法使用非牙科专用3D软件。",Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 3D Slicer 软件在3D重建颅骨上创建缺损（""21 distinct defects were created on each 3D reconstructed skull using 3D Slicer software""），属研究自身方法使用非牙科专用3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: computational"
geometric accuracy of magnetic resonance imaging derived virtual 3 dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography a porcine cadaver study,Geometric accuracy of magnetic resonance imaging-derived virtual 3-dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography: A porcine cadaver study,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 Mimics 进行 MRI/CT/CBCT 图像分割与三维重建，并使用 3-matic 进行模型对齐与几何偏差测量。,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,Mimics; 3-matic,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 Mimics 进行 MRI/CT/CBCT 图像分割与三维重建，并使用 3-matic 进行模型对齐与几何偏差测量。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Mimics; 3-matic
【研究设计】: in_vitro"
accuracy evaluation of dental cbct and scanned model registration method based on pulp horn mapping surface an in vitro proof of concept,Accuracy evaluation of dental CBCT and scanned model registration method based on pulp horn mapping surface: an in vitro proof-of-concept,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,作者在方法中明确使用 Matlab 2020b 进行图像滤波、分割、3D重建与配准误差计算，并使用 Geomagic Wrap 2017 提取目标牙及处理3D点云。,Endodontics,Image segmentation and 3D reconstruction,MATLAB; Geomagic Wrap,in_vitro,"【判定】: INCLUDE
【判定理由】: 作者在方法中明确使用 Matlab 2020b 进行图像滤波、分割、3D重建与配准误差计算，并使用 Geomagic Wrap 2017 提取目标牙及处理3D点云。
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: MATLAB; Geomagic Wrap
【研究设计】: in_vitro"
robot assisted augmented reality navigation for osteotomy and personalized guide plate in mandibular reconstruction a preclinical study,Robot-assisted augmented reality navigation for osteotomy and personalized guide-plate in mandibular reconstruction: a preclinical study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 3-matic 软件设计个性化导板并比较虚拟与术后重建模型。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,3-matic,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 3-matic 软件设计个性化导板并比较虚拟与术后重建模型。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: 3-matic
【研究设计】: clinical"
passive fit and time efficiency for prefabricated versus conventionally constructed cobalt chromium cad textbackslashcam 3 unit implant supported frameworks in free end saddle models a pilot invitro study,Passive fit and time efficiency for prefabricated versus conventionally constructed cobalt chromium CAD\textbackslashCAM 3-unit implant supported frameworks in free end saddle models: a pilot invitro study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,作者在方法中明确使用 Autodesk Meshmixer 软件修改虚拟模型并设计软组织索引，属研究自身使用非牙科专用3D软件。,Prosthodontics,Digital design and manufacturing,Autodesk Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 作者在方法中明确使用 Autodesk Meshmixer 软件修改虚拟模型并设计软组织索引，属研究自身使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: Autodesk Meshmixer
【研究设计】: in_vitro"
effect of peri implant bone resorption on mechanical stress in the implant body in vivo measured load based finite element analysis,Effect of peri-implant bone resorption on mechanical stress in the implant body: In vivo measured load-based finite element analysis,JOURNAL OF ORAL REHABILITATION,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 SolidWorks 创建种植体组件和骨模型的3D模型用于有限元分析。,Implantology,Biomechanical analysis and simulation,SolidWorks,computational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 SolidWorks 创建种植体组件和骨模型的3D模型用于有限元分析。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: SolidWorks
【研究设计】: computational"
multi material 3d printing of a customized sports mouth guard proof of concept clinical case,Multi-Material 3D Printing of a Customized Sports Mouth Guard: Proof-of-Concept Clinical Case,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,"该病例报告在方法中明确使用非牙科专用3D软件 Zbrush 进行多层运动护齿的虚拟设计与建模（如用 ""inflate"" 工具生成内外层）。",Sports Dentistry,Digital design and manufacturing,Zbrush,case_report,"【判定】: INCLUDE
【判定理由】: 该病例报告在方法中明确使用非牙科专用3D软件 Zbrush 进行多层运动护齿的虚拟设计与建模（如用 ""inflate"" 工具生成内外层）。
【专科】: Sports Dentistry
【应用场景】: Digital design and manufacturing
【软件】: Zbrush
【研究设计】: case_report"
validation of a novel tool for automated tooth modelling by fusion of cbct derived roots with the respective ios derived crowns,Validation of a novel tool for automated tooth modelling by fusion of CBCT-derived roots with the respective IOS-derived crowns,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在手动融合方案中明确使用 3-matic 修剪 IOS 数据、并用 Mimics 进行 IOS 与 CBCT 的配准与融合，属自身方法使用非牙科专用3D软件。,Orthodontics,Image segmentation and 3D reconstruction,3-matic; Mimics,computational,"【判定】: INCLUDE
【判定理由】: 该研究在手动融合方案中明确使用 3-matic 修剪 IOS 数据、并用 Mimics 进行 IOS 与 CBCT 的配准与融合，属自身方法使用非牙科专用3D软件。
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3-matic; Mimics
【研究设计】: computational"
a deep learning framework for automated dental segmentation and diagnostic report generation from cone beam computed tomography,A deep learning framework for automated dental segmentation and diagnostic report generation from cone-beam computed tomography,HEAD & FACE MEDICINE,journalArticle,No non-dental 3D software identified,INCLUDE,作者在方法中明确使用 ITK-SNAP version 4.2.0 进行 CBCT 标注，并用 3D Slicer 进行三维可视化。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,ITK-SNAP; 3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 作者在方法中明确使用 ITK-SNAP version 4.2.0 进行 CBCT 标注，并用 3D Slicer 进行三维可视化。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ITK-SNAP; 3D Slicer
【研究设计】: computational"
fully digital versus conventional workflows for fabricating posterior three unit implant supported reconstructions a prospective crossover clinical trial,Fully Digital versus Conventional Workflows for Fabricating Posterior Three-Unit Implant-Supported Reconstructions: A Prospective Crossover Clinical Trial,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 GOM Inspect 进行 3D 数据配准与精度分析，并使用 AutoCAD 计算角度，均为非牙科专用3D软件。,Prosthodontics,3D data analysis and accuracy assessment,GOM Inspect; AutoCAD,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 GOM Inspect 进行 3D 数据配准与精度分析，并使用 AutoCAD 计算角度，均为非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: GOM Inspect; AutoCAD
【研究设计】: clinical"
in vivo trueness of full arch implant supported cad cam restorations and models based on conventional impressions,In vivo trueness of full-arch implant-supported CAD/CAM restorations and models based on conventional impressions,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确使用 Geomagic Design X 和 Geomagic Control X 进行 CAD 去特征化与基准对齐处理。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Design X; Geomagic Control X,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确使用 Geomagic Design X 和 Geomagic Control X 进行 CAD 去特征化与基准对齐处理。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Design X; Geomagic Control X
【研究设计】: clinical"
influence of exposure protocol voxel size and artifact removal algorithm on the trueness of segmentation utilizing an artificial intelligence based system,"Influence of exposure protocol, voxel size, and artifact removal algorithm on the trueness of segmentation utilizing an artificial-intelligence-based system",JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究方法中明确使用 Autodesk Meshmixer 进行下颌骨解剖区域分割，并使用 Geomagic Design X 进行3D模型对齐与偏差测量。,Prosthodontics,3D data analysis and accuracy assessment,Autodesk Meshmixer; Geomagic Design X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究方法中明确使用 Autodesk Meshmixer 进行下颌骨解剖区域分割，并使用 Geomagic Design X 进行3D模型对齐与偏差测量。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Autodesk Meshmixer; Geomagic Design X
【研究设计】: in_vitro"
impact of profile angle of cad cam abutment on the marginal bone loss of implant supported single tooth posterior restorations,Impact of profile angle of CAD-CAM abutment on the marginal bone loss of implant-supported single-tooth posterior restorations,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 CAD 软件 AutoCAD 2019 绘制平行线以测量 profile angle，属于研究自身方法中使用的非牙科专用3D软件。,Implantology,Morphological and phenotypic analysis,AutoCAD,clinical,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 CAD 软件 AutoCAD 2019 绘制平行线以测量 profile angle，属于研究自身方法中使用的非牙科专用3D软件。
【专科】: Implantology
【应用场景】: Morphological and phenotypic analysis
【软件】: AutoCAD
【研究设计】: clinical"
root canal treatment planning by automatic tooth and root canal segmentation in dental cbct with deep multi task feature learning,Root canal treatment planning by automatic tooth and root canal segmentation in dental CBCT with deep multi-task feature learning,MEDICAL IMAGE ANALYSIS,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明""endodontists used the ITK-SNAP software to manually label the voxels belonging to the pulp and root canal""，即该研究自身在方法中使用ITK-SNAP进行标注。",Endodontics,Image segmentation and 3D reconstruction,ITK-SNAP,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明""endodontists used the ITK-SNAP software to manually label the voxels belonging to the pulp and root canal""，即该研究自身在方法中使用ITK-SNAP进行标注。
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ITK-SNAP
【研究设计】: computational"
stress distribution of monolithic and veneered three unit zirconia fdps a finite element analysis,STRESS DISTRIBUTION OF MONOLITHIC AND VENEERED THREE-UNIT ZIRCONIA FDPS: A FINITE ELEMENT ANALYSIS,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明该研究自己使用 ANSYS SpaceClaim 清理转换模型、并用 ANSYS 18.2 进行网格划分和应力分析。,Prosthodontics,Biomechanical analysis and simulation,ANSYS; ANSYS SpaceClaim,computational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明该研究自己使用 ANSYS SpaceClaim 清理转换模型、并用 ANSYS 18.2 进行网格划分和应力分析。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: ANSYS; ANSYS SpaceClaim
【研究设计】: computational"
investigation of conventional vs nonoriginal cad cam bars with production stage differences an in vitro precision study using a novel technique,Investigation of Conventional vs Nonoriginal CAD/CAM Bars with Production Stage Differences: An In Vitro Precision Study Using a Novel Technique,INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 GOM Inspect 软件对支架与种植体之间的边缘间隙进行数字化计算。,Prosthodontics,3D data analysis and accuracy assessment,GOM Inspect,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 GOM Inspect 软件对支架与种植体之间的边缘间隙进行数字化计算。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: GOM Inspect
【研究设计】: in_vitro"
a novel fluoride tray assisted workflow for artificial intelligence driven automated maxillary gingival segmentation on cone beam ct,A novel fluoride tray-assisted workflow for artificial intelligence-driven automated maxillary gingival segmentation on cone beam CT,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Mimics 和 3-matic 软件对 AI 分割的牙龈模型进行精修和手动分割。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,Mimics; 3-matic,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Mimics 和 3-matic 软件对 AI 分割的牙龈模型进行精修和手动分割。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics; 3-matic
【研究设计】: clinical"
objective characterization of dental occlusal and fissure morphologies method development and exploratory analysis,Objective characterization of dental occlusal and fissure morphologies: Method development and exploratory analysis,ARCHIVES OF ORAL BIOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 MeshLab 和 Geomagic Wrap 处理口内扫描的3D数据（隔离、定向、对齐牙齿）。,Orthodontics,Morphological and phenotypic analysis,MeshLab; Geomagic Wrap,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 MeshLab 和 Geomagic Wrap 处理口内扫描的3D数据（隔离、定向、对齐牙齿）。
【专科】: Orthodontics
【应用场景】: Morphological and phenotypic analysis
【软件】: MeshLab; Geomagic Wrap
【研究设计】: clinical"
3d printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,3D printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,NPJ REGENERATIVE MEDICINE,journalArticle,No non-dental 3D software identified,INCLUDE,"全文方法部分明确说明使用 3-Matic 软件（Materialize, Leuven, Belgium）构建支架的3D模型。",Oral and Maxillofacial Surgery,Digital design and manufacturing,3-Matic,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 3-Matic 软件（Materialize, Leuven, Belgium）构建支架的3D模型。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【软件】: 3-Matic
【研究设计】: clinical"
the microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3d printed surgical guides in vitro study,The microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3D printed surgical guides (in vitro study),BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 GOM Inspect 进行表面比较和体积偏差分析，属非牙科专用3D软件。,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,GOM Inspect,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 GOM Inspect 进行表面比较和体积偏差分析，属非牙科专用3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【软件】: GOM Inspect
【研究设计】: in_vitro"
biomechanical effects of platform diameter and screw length in an abutment free tissue level implant system compared with a ti base configuration 3d finite element analysis,Biomechanical Effects of Platform Diameter and Screw Length in an Abutment-Free Tissue-Level Implant System Compared with a Ti-Base Configuration: 3D Finite Element Analysis,JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 Ansys Workbench 2024 R1（SpaceClaim、DesignModeler、Ansys Mechanical）进行有限元建模、网格划分与求解。,Implantology,Biomechanical analysis and simulation,ANSYS,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Ansys Workbench 2024 R1（SpaceClaim、DesignModeler、Ansys Mechanical）进行有限元建模、网格划分与求解。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: ANSYS
【研究设计】: computational"
effect of internal structural design on stress distribution in 3d printed subperiosteal implants under mechanical loading,Effect of Internal Structural Design on Stress Distribution in 3D-Printed Subperiosteal Implants Under Mechanical Loading,BIOENGINEERING-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,"该研究在方法中使用 Abaqus 2026 FD01 软件进行有限元建模与应力分析（""the test environment was virtually reconstructed using Abaqus 2026 FD01 software""）。",Implantology,Biomechanical analysis and simulation,ABAQUS,computational,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 Abaqus 2026 FD01 软件进行有限元建模与应力分析（""the test environment was virtually reconstructed using Abaqus 2026 FD01 software""）。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: ABAQUS
【研究设计】: computational"
