_nt,Title,期刊,Item Type,流程原因,命中软件,判定,理由,原始返回
procedure increasing the accuracy of modelling and the manufacturing of surgical templates with the use of 3d printing techniques applied in planning the procedures of reconstruction of the mandible,"Procedure Increasing the Accuracy of Modelling and the Manufacturing of Surgical Templates with the Use of 3D Printing Techniques, Applied in Planning the Procedures of Reconstruction of the Mandible",JOURNAL OF CLINICAL MEDICINE,journalArticle,No non-dental 3D software identified,GOM Inspect; Geomagic,E1,该原创研究在颌面外科手术模板建模中明确使用非牙科3D软件Geomagic进行体积测量、GOM Inspect进行精度分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在颌面外科手术模板建模中明确使用非牙科3D软件Geomagic进行体积测量、GOM Inspect进行精度分析，符合全部纳入标准。"
three dimensional analysis of mandibular and condylar growth using artificial intelligence tools a comparison of twin block and frankel ii appliances,Three-dimensional analysis of mandibular and condylar growth using artificial intelligence tools: a comparison of twin-block and Frankel II Appliances,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,ITK-SNAP,E1,该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件ITK-SNAP 4.0.1进行半自动分割以提取下颌骨与髁突三维模型，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件ITK-SNAP 4.0.1进行半自动分割以提取下颌骨与髁突三维模型，符合纳入标准。"
clinical efficacy of early intervention timing for inversely impacted maxillary central incisors,Clinical efficacy of early intervention timing for inversely impacted maxillary central incisors,JOURNAL OF CLINICAL PEDIATRIC DENTISTRY,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究为口腔正畸原创研究，全文明确使用非牙科专用软件 Mimics 21.0 对 CBCT 数据进行三维重建与牙体积/表面积测量。,"【判定】: E1
【理由】: 该研究为口腔正畸原创研究，全文明确使用非牙科专用软件 Mimics 21.0 对 CBCT 数据进行三维重建与牙体积/表面积测量。"
workflow for guided implant placement based on anatomic landmarks and the cad cam fabrication of a prosthetic framework for an implant supported fixed dental prosthesis,Workflow for guided implant placement based on anatomic landmarks and the CAD-CAM fabrication of a prosthetic framework for an implant-supported fixed dental prosthesis,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,Ansys; Mimics; SpaceClaim,E1,该技术说明属于口腔种植领域，且全文明确将 Mimics、3D Slicer、SpaceClaim/Ansys 等非牙科专用3D软件用于CBCT分割、解剖重建和支架CAD设计。,"【判定】: E1
【理由】: 该技术说明属于口腔种植领域，且全文明确将 Mimics、3D Slicer、SpaceClaim/Ansys 等非牙科专用3D软件用于CBCT分割、解剖重建和支架CAD设计。"
does adding markers increase the accuracy and efficiency of intraoral scanning of complete dentures,Does adding markers increase the accuracy and efficiency of intraoral scanning of complete dentures?,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic Control X,E1,该研究属口腔修复学原创研究，全文明确使用非牙科专用3D分析软件Geomagic Control X进行3D偏差分析（RMS计算与色图），符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔修复学原创研究，全文明确使用非牙科专用3D分析软件Geomagic Control X进行3D偏差分析（RMS计算与色图），符合纳入标准。"
evaluation of the stability of the palatal rugae using the three dimensional orthodontic treatment,Evaluation of the stability of the palatal rugae using the three-dimensional orthodontic treatment,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Studio; MATLAB,E1,该研究属口腔正畸领域原创研究，全文明确使用非牙科3D软件Geomagic Studio进行腭皱襞提取与3D点云转换，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔正畸领域原创研究，全文明确使用非牙科3D软件Geomagic Studio进行腭皱襞提取与3D点云转换，符合纳入标准。"
multi view deep learning for mandibular landmark localization,Multi-view deep learning for mandibular landmark localization,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic Wrap; Mimics,E1,该原创研究在口腔颌面领域使用非牙科专用软件 Mimics 24.0 和 Geomagic Wrap 2021 进行CBCT三维重建与网格处理，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔颌面领域使用非牙科专用软件 Mimics 24.0 和 Geomagic Wrap 2021 进行CBCT三维重建与网格处理，符合全部纳入标准。"
mandibular extracellular vesicles mediate morphogenesis and mineralization of tooth germs in miniature swine through the mir 206 hdac4 signaling axis,Mandibular extracellular vesicles mediate morphogenesis and mineralization of tooth germs in miniature swine through the miR-206/HDAC4 signaling axis,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,journalArticle,No non-dental 3D software identified,Mimics; mimics,E1,该原创研究属口腔生物学（牙胚形态发生与矿化），全文方法部分明确使用非牙科3D软件 Mimics Research 21.0 进行micro-CT三维重建与矿化定量分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究属口腔生物学（牙胚形态发生与矿化），全文方法部分明确使用非牙科3D软件 Mimics Research 21.0 进行micro-CT三维重建与矿化定量分析，符合全部纳入标准。"
surgical navigation augmented reality and 3d printing for hard palate adenoid cystic carcinoma en bloc resection case report and literature review,"Surgical Navigation, Augmented Reality, and 3D Printing for Hard Palate Adenoid Cystic Carcinoma En-Bloc Resection: Case Report and Literature Review",FRONTIERS IN ONCOLOGY,journalArticle,Not an original research report,3D Slicer; Brainlab; Meshmixer,E1,该病例报告属口腔颌面外科原创研究，全文明确使用非牙科3D软件Meshmixer进行肿瘤模型扩大及手术边界规划，并使用3D Slicer开发手术导航模块。,"【判定】: E1
【理由】: 该病例报告属口腔颌面外科原创研究，全文明确使用非牙科3D软件Meshmixer进行肿瘤模型扩大及手术边界规划，并使用3D Slicer开发手术导航模块。"
vertical and horizontal ridge augmentation using customized three dimensionally printed polycaprolactone mesh in atrophic posterior maxillae a case report,Vertical and Horizontal Ridge Augmentation Using Customized Three-Dimensionally Printed Polycaprolactone Mesh in Atrophic Posterior Maxillae: A Case Report,JOURNAL OF ORAL IMPLANTOLOGY,journalArticle,Not an original research report,PowerShape,E1,该病例报告属于口腔种植/颌面外科领域，且全文明确说明使用通用CAD软件PowerShape（Autodesk）设计患者个性化PCL网格，符合非牙科专用3D软件用于3D建模的纳入标准。,"【判定】: E1
【理由】: 该病例报告属于口腔种植/颌面外科领域，且全文明确说明使用通用CAD软件PowerShape（Autodesk）设计患者个性化PCL网格，符合非牙科专用3D软件用于3D建模的纳入标准。"
mandible segmentation of dental cbct scans affected by metal artifacts using coarse to fine learning model,Mandible Segmentation of Dental CBCT Scans Affected by Metal Artifacts Using Coarse-to-Fine Learning Model,JOURNAL OF PERSONALIZED MEDICINE,journalArticle,No non-dental 3D software identified,Mimics,E1,该原创研究主题为口腔颌面CBCT下颌骨分割，且全文明确使用非牙科专用3D软件Mimics 20.0进行手动分割标注，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究主题为口腔颌面CBCT下颌骨分割，且全文明确使用非牙科专用3D软件Mimics 20.0进行手动分割标注，符合纳入标准。"
influence of the preparation design on the survival probability of occlusal veneers,Influence of the preparation design on the survival probability of occlusal veneers,DENTAL MATERIALS,journalArticle,No non-dental 3D software identified,itk-snap,E1,该研究为牙科修复原创研究，全文明确使用非牙科3D软件ITK-SNAP对微CT数据进行分割建模，符合纳入标准。,"【判定】: E1
【理由】: 该研究为牙科修复原创研究，全文明确使用非牙科3D软件ITK-SNAP对微CT数据进行分割建模，符合纳入标准。"
digital dental biometrics for human identification based on automated 3d point cloud feature extraction and registration,Digital Dental Biometrics for Human Identification Based on Automated 3D Point Cloud Feature Extraction and Registration,BIOENGINEERING-BASEL,journalArticle,No non-dental 3D software identified,CloudCompare; MeshLab,E1,该原创研究在法医口腔/口腔放射领域自身使用非牙科3D软件 MeshLab 计算牙齿模型曲率、CloudCompare 提取特征点云，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在法医口腔/口腔放射领域自身使用非牙科3D软件 MeshLab 计算牙齿模型曲率、CloudCompare 提取特征点云，符合全部纳入标准。"
time resolved prediction of dental implant biomechanics through integration of finite element analysis osseointegration dynamics and deep learning,"Time-resolved prediction of dental implant biomechanics through integration of finite element analysis, osseointegration dynamics, and deep learning",JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,No non-dental 3D software identified,ANSYS; SolidWorks,E1,该原创研究在口腔种植主题下，明确使用非牙科专用3D软件SolidWorks建模并导入ANSYS Workbench进行有限元分析，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔种植主题下，明确使用非牙科专用3D软件SolidWorks建模并导入ANSYS Workbench进行有限元分析，符合纳入标准。"
effect of preparation design and scan pattern on the accuracy of intraoral scans for complete arch laminate veneers under simulated intraoral variables,Effect of preparation design and scan pattern on the accuracy of intraoral scans for complete arch laminate veneers under simulated intraoral variables,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic Control X; Geomagic control X,E1,"该研究为口腔修复学原创研究，明确使用非牙科专用3D分析软件Geomagic Control X进行3D偏差分析（""Assessment of accuracy was conducted with a 3D software analysis program (Geomagic Control X)""），符合全部纳入标准。","【判定】: E1
【理由】: 该研究为口腔修复学原创研究，明确使用非牙科专用3D分析软件Geomagic Control X进行3D偏差分析（""Assessment of accuracy was conducted with a 3D software analysis program (Geomagic Control X)""），符合全部纳入标准。"
idnet a diffusion model enhanced framework for accurate cranio maxillofacial bone defect repair,IDNet: A Diffusion Model-Enhanced Framework for Accurate Cranio-Maxillofacial Bone Defect Repair,BIOENGINEERING-BASEL,journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究属口腔颌面外科主题，全文明确使用非牙科专用3D软件3D Slicer进行颅骨缺损建模与数据处理，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面外科主题，全文明确使用非牙科专用3D软件3D Slicer进行颅骨缺损建模与数据处理，且为原创研究，符合全部纳入标准。"
dimensional measurement accuracy of 3 dimensional models from cone beam computed tomography using different voxel sizes,Dimensional measurement accuracy of 3-dimensional models from cone beam computed tomography using different voxel sizes,ORAL SURGERY ORAL MEDICINE ORAL PATHOLOGY ORAL RADIOLOGY,journalArticle,No non-dental 3D software identified,3D Slicer; Geomagic; Geomagic Qualify,E1,该研究属口腔颌面放射领域，全文明确使用非牙科软件3D Slicer将CBCT DICOM转为STL、并用Geomagic Qualify进行三维模型配准与偏差分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射领域，全文明确使用非牙科软件3D Slicer将CBCT DICOM转为STL、并用Geomagic Qualify进行三维模型配准与偏差分析，为原创研究，符合全部纳入标准。"
evaluation of zirconia and high performance polymer abutment surface roughness and stress concentration for implant supported fixed dental prostheses,Evaluation of Zirconia and High Performance Polymer Abutment Surface Roughness and Stress Concentration for Implant-Supported Fixed Dental Prostheses,COATINGS,journalArticle,No non-dental 3D software identified,ANSYS; Rhinoceros,E1,该原创研究在种植体基台应力分析中自身使用了非牙科专用3D软件Rhinoceros建模并导入ANSYS进行有限元分析，符合口腔医学主题与软件使用要求。,"【判定】: E1
【理由】: 该原创研究在种植体基台应力分析中自身使用了非牙科专用3D软件Rhinoceros建模并导入ANSYS进行有限元分析，符合口腔医学主题与软件使用要求。"
comparison between relining of ill fitted maxillary complete denture versus cad cam milling of new one regarding patient satisfaction denture retention and adaptation,"Comparison between relining of ill-fitted maxillary complete denture versus CAD/CAM milling of new one regarding patient satisfaction, denture retention and adaptation",BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,Geomagic Control X; geomagic,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件Geomagic Control X对义齿适配性进行3D测量与叠加分析。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件Geomagic Control X对义齿适配性进行3D测量与叠加分析。"
mixed reality combined with surgical navigation versus conventional navigation for resection of oral and maxillofacial tumors a comparative study,Mixed reality combined with surgical navigation versus conventional navigation for resection of oral and maxillofacial tumors: a comparative study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,Brainlab; Geomagic; Geomagic Control; final surface,E1,该研究为口腔颌面外科原创比较研究，全文明确使用非牙科3D软件 Geomagic Control 进行术前设计与术后模型配准及截骨面色谱分析。,"【判定】: E1
【理由】: 该研究为口腔颌面外科原创比较研究，全文明确使用非牙科3D软件 Geomagic Control 进行术前设计与术后模型配准及截骨面色谱分析。"
augmented reality assisted micro invasive apicectomy with markerless visual inertial odometry an in vivo pilot study,Augmented Reality-Assisted Micro-Invasive Apicectomy with Markerless Visual-Inertial Odometry: An In Vivo Pilot Study,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,MeshLab; Mimics,E1,该研究为口腔牙体牙髓领域的原创临床 pilot 研究，全文明确使用非牙科专用3D软件 Mimics 22.0 进行 CBCT 分割、MeshLab 2023.12 进行配准，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔牙体牙髓领域的原创临床 pilot 研究，全文明确使用非牙科专用3D软件 Mimics 22.0 进行 CBCT 分割、MeshLab 2023.12 进行配准，符合纳入标准。"
effect of peri implant bone resorption on mechanical stress in the implant body in vivo measured load based finite element analysis,Effect of peri-implant bone resorption on mechanical stress in the implant body: In vivo measured load-based finite element analysis,JOURNAL OF ORAL REHABILITATION,journalArticle,No non-dental 3D software identified,Solidworks,E1,该研究为口腔种植领域原创研究，全文明确使用非牙科专用3D建模软件Solidworks创建种植体及骨模型进行有限元分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域原创研究，全文明确使用非牙科专用3D建模软件Solidworks创建种植体及骨模型进行有限元分析。"
geometric accuracy of magnetic resonance imaging derived virtual 3 dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography a porcine cadaver study,Geometric accuracy of magnetic resonance imaging-derived virtual 3-dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography: A porcine cadaver study,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,No non-dental 3D software identified,3-matic; Mimics,E1,该研究属口腔颌面/种植领域原创研究，全文明确将 Mimics 和 3-matic 用于 MRI/CT/CBCT 骨表面模型的分割、配准与几何偏差测量，符合非牙科专用3D软件自身使用的纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面/种植领域原创研究，全文明确将 Mimics 和 3-matic 用于 MRI/CT/CBCT 骨表面模型的分割、配准与几何偏差测量，符合非牙科专用3D软件自身使用的纳入标准。"
accuracy evaluation of dental cbct and scanned model registration method based on pulp horn mapping surface an in vitro proof of concept,Accuracy evaluation of dental CBCT and scanned model registration method based on pulp horn mapping surface: an in vitro proof-of-concept,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Studio; Geomagic wrap; Matlab,E1,该原创研究在方法中明确使用非牙科3D软件 Matlab 2020b 和 Geomagic wrap 2017 进行图像滤波、分割、3D重建、配准误差计算及点云处理，主题为牙体牙髓CBCT与口扫配准，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在方法中明确使用非牙科3D软件 Matlab 2020b 和 Geomagic wrap 2017 进行图像滤波、分割、3D重建、配准误差计算及点云处理，主题为牙体牙髓CBCT与口扫配准，符合全部纳入标准。"
robot assisted augmented reality navigation for osteotomy and personalized guide plate in mandibular reconstruction a preclinical study,Robot-assisted augmented reality navigation for osteotomy and personalized guide-plate in mandibular reconstruction: a preclinical study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,3-matic,E1,该研究为口腔颌面外科原创临床前研究，全文明确使用非牙科专用3D软件3-matic进行手术导板设计及重建精度比较，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔颌面外科原创临床前研究，全文明确使用非牙科专用3D软件3-matic进行手术导板设计及重建精度比较，符合全部纳入标准。"
passive fit and time efficiency for prefabricated versus conventionally constructed cobalt chromium cad textbackslashcam 3 unit implant supported frameworks in free end saddle models a pilot invitro study,Passive fit and time efficiency for prefabricated versus conventionally constructed cobalt chromium CAD\textbackslashCAM 3-unit implant supported frameworks in free end saddle models: a pilot invitro study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,Meshmixer,E1,该研究为口腔种植领域的原创体外研究，全文明确使用非牙科专用3D软件Meshmixer（Autodesk Meshmixer）修改虚拟模型设计，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创体外研究，全文明确使用非牙科专用3D软件Meshmixer（Autodesk Meshmixer）修改虚拟模型设计，符合纳入标准。"
validation of a novel tool for automated tooth modelling by fusion of cbct derived roots with the respective ios derived crowns,Validation of a novel tool for automated tooth modelling by fusion of CBCT-derived roots with the respective IOS-derived crowns,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,3-matic; Mimics,E1,该原创研究在手动融合流程中明确使用非牙科3D软件 3-matic 和 Mimics 进行IOS数据裁剪与CBCT配准，属口腔医学主题且类型为原创研究。,"【判定】: E1
【理由】: 该原创研究在手动融合流程中明确使用非牙科3D软件 3-matic 和 Mimics 进行IOS数据裁剪与CBCT配准，属口腔医学主题且类型为原创研究。"
multi material 3d printing of a customized sports mouth guard proof of concept clinical case,Multi-Material 3D Printing of a Customized Sports Mouth Guard: Proof-of-Concept Clinical Case,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,No non-dental 3D software identified,Zbrush,E1,"该病例报告属于口腔医学（运动护齿器），全文明确使用非牙科专用3D软件 Zbrush 进行多层护齿器的虚拟设计与建模（如用""inflate""工具生成内外层），符合纳入标准。","【判定】: E1
【理由】: 该病例报告属于口腔医学（运动护齿器），全文明确使用非牙科专用3D软件 Zbrush 进行多层护齿器的虚拟设计与建模（如用""inflate""工具生成内外层），符合纳入标准。"
a deep learning framework for automated dental segmentation and diagnostic report generation from cone beam computed tomography,A deep learning framework for automated dental segmentation and diagnostic report generation from cone-beam computed tomography,HEAD & FACE MEDICINE,journalArticle,No non-dental 3D software identified,3D Slicer; ITK-SNAP,E1,该原创研究在口腔放射学CBCT牙齿分割中明确使用非牙科3D软件ITK-SNAP（v4.2.0）进行标注、3D Slicer进行可视化，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔放射学CBCT牙齿分割中明确使用非牙科3D软件ITK-SNAP（v4.2.0）进行标注、3D Slicer进行可视化，符合纳入标准。"
fully digital versus conventional workflows for fabricating posterior three unit implant supported reconstructions a prospective crossover clinical trial,Fully Digital versus Conventional Workflows for Fabricating Posterior Three-Unit Implant-Supported Reconstructions: A Prospective Crossover Clinical Trial,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,No non-dental 3D software identified,AutoCAD; GOM inspect,E1,该前瞻性交叉临床试验属口腔种植修复主题，全文明确使用非牙科专用3D软件 GOM inspect 进行3D数据配准与精度分析、AutoCAD 进行角度测量，符合原创研究及2020-2026英文发表要求。,"【判定】: E1
【理由】: 该前瞻性交叉临床试验属口腔种植修复主题，全文明确使用非牙科专用3D软件 GOM inspect 进行3D数据配准与精度分析、AutoCAD 进行角度测量，符合原创研究及2020-2026英文发表要求。"
root canal treatment planning by automatic tooth and root canal segmentation in dental cbct with deep multi task feature learning,Root canal treatment planning by automatic tooth and root canal segmentation in dental CBCT with deep multi-task feature learning,MEDICAL IMAGE ANALYSIS,journalArticle,No non-dental 3D software identified,ITK-SNAP,E1,该原创研究属口腔医学（牙体牙髓/影像），且全文明确使用非牙科专用3D软件 ITK-SNAP 对CBCT中牙髓与根管体素进行手动标注，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究属口腔医学（牙体牙髓/影像），且全文明确使用非牙科专用3D软件 ITK-SNAP 对CBCT中牙髓与根管体素进行手动标注，符合纳入标准。"
influence of exposure protocol voxel size and artifact removal algorithm on the trueness of segmentation utilizing an artificial intelligence based system,"Influence of exposure protocol, voxel size, and artifact removal algorithm on the trueness of segmentation utilizing an artificial-intelligence-based system",JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,Brainlab; Geomagic Design X; Meshmixer; Mimics,E1,该研究属口腔颌面放射/修复领域原创研究，全文明确使用非牙科3D软件 Meshmixer 和 Geomagic Design X 进行3D模型分割、对齐与偏差测量。,"【判定】: E1
【理由】: 该研究属口腔颌面放射/修复领域原创研究，全文明确使用非牙科3D软件 Meshmixer 和 Geomagic Design X 进行3D模型分割、对齐与偏差测量。"
impact of profile angle of cad cam abutment on the marginal bone loss of implant supported single tooth posterior restorations,Impact of profile angle of CAD-CAM abutment on the marginal bone loss of implant-supported single-tooth posterior restorations,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,AutoCAD,E1,该研究为口腔种植修复的原创临床研究，且全文明确使用非牙科专用3D软件 AutoCAD 2019 测量种植体基台轮廓角度，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植修复的原创临床研究，且全文明确使用非牙科专用3D软件 AutoCAD 2019 测量种植体基台轮廓角度，符合纳入标准。"
in vivo trueness of full arch implant supported cad cam restorations and models based on conventional impressions,In vivo trueness of full-arch implant-supported CAD/CAM restorations and models based on conventional impressions,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic Control X; Geomagic Design X,E1,该研究为口腔种植修复的原创研究，全文明确使用非牙科3D软件 Geomagic Design X 和 Geomagic Control X 进行CAD去特征化与基准对齐分析。,"【判定】: E1
【理由】: 该研究为口腔种植修复的原创研究，全文明确使用非牙科3D软件 Geomagic Design X 和 Geomagic Control X 进行CAD去特征化与基准对齐分析。"
stress distribution of monolithic and veneered three unit zirconia fdps a finite element analysis,STRESS DISTRIBUTION OF MONOLITHIC AND VENEERED THREE-UNIT ZIRCONIA FDPS: A FINITE ELEMENT ANALYSIS,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,No non-dental 3D software identified,ANSYS; SpaceClaim,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用软件ANSYS及ANSYS SpaceClaim进行3D模型清理、网格划分与有限元应力分析。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用软件ANSYS及ANSYS SpaceClaim进行3D模型清理、网格划分与有限元应力分析。"
a novel fluoride tray assisted workflow for artificial intelligence driven automated maxillary gingival segmentation on cone beam ct,A novel fluoride tray-assisted workflow for artificial intelligence-driven automated maxillary gingival segmentation on cone beam CT,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,No non-dental 3D software identified,3-matic; 3D Slicer; Mimics,E1,该原创研究属口腔颌面放射领域，全文明确使用非牙科3D软件 Mimics 和 3-matic 进行牙龈分割精修与手动分割，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究属口腔颌面放射领域，全文明确使用非牙科3D软件 Mimics 和 3-matic 进行牙龈分割精修与手动分割，符合纳入标准。"
objective characterization of dental occlusal and fissure morphologies method development and exploratory analysis,Objective characterization of dental occlusal and fissure morphologies: Method development and exploratory analysis,ARCHIVES OF ORAL BIOLOGY,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Wrap; MeshLab,E1,该原创研究属口腔医学（牙体形态与龋病），全文方法部分明确使用非牙科3D软件 MeshLab 和 Geomagic Wrap 处理口内扫描数据，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究属口腔医学（牙体形态与龋病），全文方法部分明确使用非牙科3D软件 MeshLab 和 Geomagic Wrap 处理口内扫描数据，符合全部纳入标准。"
investigation of conventional vs nonoriginal cad cam bars with production stage differences an in vitro precision study using a novel technique,Investigation of Conventional vs Nonoriginal CAD/CAM Bars with Production Stage Differences: An In Vitro Precision Study Using a Novel Technique,INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,journalArticle,No non-dental 3D software identified,GOM Inspect,E1,该研究为口腔种植领域的体外原创研究，全文明确使用非牙科专用3D软件 GOM Inspect 对杆框架与种植体间的边缘间隙进行数字化计算。,"【判定】: E1
【理由】: 该研究为口腔种植领域的体外原创研究，全文明确使用非牙科专用3D软件 GOM Inspect 对杆框架与种植体间的边缘间隙进行数字化计算。"
3d printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,3D printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,NPJ REGENERATIVE MEDICINE,journalArticle,No non-dental 3D software identified,3-Matic,E1,"该原创研究在方法部分明确使用非牙科3D软件3-Matic进行支架3D建模（""3D models of these structures were developed using 3-Matic software""），主题为颌面外科骨缺损修复，符合全部纳入标准。","【判定】: E1
【理由】: 该原创研究在方法部分明确使用非牙科3D软件3-Matic进行支架3D建模（""3D models of these structures were developed using 3-Matic software""），主题为颌面外科骨缺损修复，符合全部纳入标准。"
biomechanical effects of platform diameter and screw length in an abutment free tissue level implant system compared with a ti base configuration 3d finite element analysis,Biomechanical Effects of Platform Diameter and Screw Length in an Abutment-Free Tissue-Level Implant System Compared with a Ti-Base Configuration: 3D Finite Element Analysis,JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,No non-dental 3D software identified,ANSYS; Ansys; SpaceClaim,E1,该研究为口腔种植领域的原创有限元分析，全文明确使用非牙科专用软件ANSYS Workbench/SpaceClaim进行建模与求解，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元分析，全文明确使用非牙科专用软件ANSYS Workbench/SpaceClaim进行建模与求解，符合全部纳入标准。"
the microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3d printed surgical guides in vitro study,The microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3D printed surgical guides (in vitro study),BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,GOM Inspect,E1,该研究为口腔种植/外科领域的原创体外研究，全文明确使用非牙科专用3D分析软件GOM Inspect对3D打印手术导板进行形态与体积偏差分析。,"【判定】: E1
【理由】: 该研究为口腔种植/外科领域的原创体外研究，全文明确使用非牙科专用3D分析软件GOM Inspect对3D打印手术导板进行形态与体积偏差分析。"
effect of print orientation of 3d printed aligner templates on the volumetric accuracy of transferred composite attachments an in vitro study,Effect of print orientation of 3D-printed aligner templates on the volumetric accuracy of transferred composite attachments: an in vitro study,CLINICAL ORAL INVESTIGATIONS,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control X,E1,该研究属口腔正畸原创研究，且自身明确使用非牙科专用3D软件 Geomagic Control X 进行体积偏差量化和附件分割分析。,"【判定】: E1
【理由】: 该研究属口腔正畸原创研究，且自身明确使用非牙科专用3D软件 Geomagic Control X 进行体积偏差量化和附件分割分析。"
a digital workflow for the fabrication of a milled removable partial denture,A Digital Workflow for the Fabrication of a Milled Removable Partial Denture,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,No non-dental 3D software identified,Meshmixer,E1,"该文为口腔修复原创技术说明，全文明确使用非牙科3D软件Meshmixer进行RPD数字建模（""Import...into a 3D modeling software program (Meshmixer)""），符合纳入标准。","【判定】: E1
【理由】: 该文为口腔修复原创技术说明，全文明确使用非牙科3D软件Meshmixer进行RPD数字建模（""Import...into a 3D modeling software program (Meshmixer)""），符合纳入标准。"
effect of internal structural design on stress distribution in 3d printed subperiosteal implants under mechanical loading,Effect of Internal Structural Design on Stress Distribution in 3D-Printed Subperiosteal Implants Under Mechanical Loading,BIOENGINEERING-BASEL,journalArticle,No non-dental 3D software identified,Abaqus,E1,"该研究为口腔种植领域的原创研究，全文明确使用非牙科专用3D软件Abaqus进行有限元建模与应力分析（""the test environment was virtually reconstructed using Abaqus 2026 FD01 software""），符合全部纳入标准。","【判定】: E1
【理由】: 该研究为口腔种植领域的原创研究，全文明确使用非牙科专用3D软件Abaqus进行有限元建模与应力分析（""the test environment was virtually reconstructed using Abaqus 2026 FD01 software""），符合全部纳入标准。"
