_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
application of temporary patient specific plate in head and neck osteocutaneous free flap reconstruction a prospective pilot study,Application of temporary patient-specific plate in head and neck osteocutaneous free flap reconstruction: a prospective pilot study.,Frontiers in oral health,journalArticle,IHFWL9JR,INCLUDE,EXCLUDE,INCLUDE,"Virtual surgical planning was then performed using ProPlan CMF 2.0 software (Materialise, Leuven, Belgium), followed by in-house design of 3D-printed surgical guides and TPSPs using 3-matic 13.0 software (Materialise). / The planned and immediate postoperative models were then superimposed onto the best-fit contralateral jaw using 3-matic 13.0 software.",3-matic,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,clinical,"【判定】: INCLUDE
【证据】: Virtual surgical planning was then performed using ProPlan CMF 2.0 software (Materialise, Leuven, Belgium), followed by in-house design of 3D-printed surgical guides and TPSPs using 3-matic 13.0 software (Materialise). / The planned and immediate postoperative models were then superimposed onto the best-fit contralateral jaw using 3-matic 13.0 software.
【软件】: 3-matic
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【研究设计】: clinical"
electromagnetic navigation in mandibular reconstruction using autologous grafts a color coded assistance for precise positioning of bone segments,Electromagnetic Navigation in Mandibular Reconstruction Using Autologous Grafts: A Color-Coded Assistance for Precise Positioning of Bone Segments.,Computational and structural biotechnology journal,journalArticle,TYANEIC4,INCLUDE,EXCLUDE,INCLUDE,"Bone surfaces are segmented using Mimics (Materialise NV, Leuven, Belgium).",Mimics,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: Bone surfaces are segmented using Mimics (Materialise NV, Leuven, Belgium).
【软件】: Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
optimization of resin printing parameters for improved surface roughness using metaheuristic algorithms a multifaceted approach,Optimization of Resin Printing Parameters for Improved Surface Roughness Using Metaheuristic Algorithms: A Multifaceted Approach,JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,journalArticle,QRK3VBMA,,INCLUDE,INCLUDE,"""The model is initially created using Fusion 360, a CAD software, and then stored in standard tessellation language (stl) format""",Fusion 360,Prosthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""The model is initially created using Fusion 360, a CAD software, and then stored in standard tessellation language (stl) format""
【软件】: Fusion 360
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
experimental study on dimensional variations of 3d printed dental models based on printing orientation,Experimental study on dimensional variations of 3D printed dental models based on printing orientation.,Clinical case reports,journalArticle,JH94FFYH,INCLUDE,EXCLUDE,INCLUDE,"""Geomagic Control X software (3D Systems, Rock Hill, South Carolina, USA) was used."" 以及 ""The 3D file (stl) underwent importation into the Phrozen 3D Slice Software (Phrozen, Taiwan) for slicing""",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""Geomagic Control X software (3D Systems, Rock Hill, South Carolina, USA) was used."" 以及 ""The 3D file (stl) underwent importation into the Phrozen 3D Slice Software (Phrozen, Taiwan) for slicing""
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
automated micro ct quantification of clear aligner fit a pilot comparison of manufacturing processes,Automated micro-CT quantification of clear aligner fit: a pilot comparison of manufacturing processes.,BMC oral health,journalArticle,LH8UPF46,INCLUDE,EXCLUDE,INCLUDE,"Manual segmentation was performed using Mimics (version 21.0, Materialise, Leuven, Belgium) with operators blinded to automated algorithm results and each other's measurements.",Mimics,Orthodontics,Image segmentation and 3D reconstruction,in_vitro,"【判定】: INCLUDE
【证据】: Manual segmentation was performed using Mimics (version 21.0, Materialise, Leuven, Belgium) with operators blinded to automated algorithm results and each other's measurements.
【软件】: Mimics
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: in_vitro"
a smart projective imaging and navigation system for oral and maxillofacial surgery,A Smart Projective Imaging and Navigation System for Oral and Maxillofacial Surgery,IEEE Transactions on Biomedical Engineering,journalArticle,EW9LCFMA,INCLUDE,EXCLUDE,INCLUDE,"""The platform is built on Blender 4.3, and the entire process is completely automatic.""",Blender,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""The platform is built on Blender 4.3, and the entire process is completely automatic.""
【软件】: Blender
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
zirconia endocrown with intracanal extension and zi posts on maxillary molars in silico study,Zirconia endocrown with intracanal extension and zi posts on maxillary molars: in silico study,QUINTESSENCE INTERNATIONAL,journalArticle,KY63Y6R9,INCLUDE,INCLUDE,INCLUDE,"""Modeling software (Rhinoceros 4.0) and analysis programs (VRMesh Studio, VirtualGrid; and Algor Fempro, Algor) were used to construct and design models.""",Rhinoceros 4.0; VRMesh Studio; Algor Fempro,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""Modeling software (Rhinoceros 4.0) and analysis programs (VRMesh Studio, VirtualGrid; and Algor Fempro, Algor) were used to construct and design models.""
【软件】: Rhinoceros 4.0; VRMesh Studio; Algor Fempro
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
evaluation of the retentive forces from removable partial denture clasps manufactured by the digital method,Evaluation of the Retentive Forces from Removable Partial Denture Clasps Manufactured by the Digital Method,APPLIED SCIENCES-BASEL,journalArticle,TZGXEUSU,INCLUDE,INCLUDE,INCLUDE,"In the Autodesk Meshmixer program (2017, version 3.5.474), a 3D-printed resin block measuring 9 × 20 × 40 mm was designed for each tooth",Autodesk Meshmixer,Prosthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: In the Autodesk Meshmixer program (2017, version 3.5.474), a 3D-printed resin block measuring 9 × 20 × 40 mm was designed for each tooth
【软件】: Autodesk Meshmixer
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
fully automated 3d segmentation of periapical lesions on cbct images using nnu net v2,Fully automated 3D segmentation of periapical lesions on CBCT images using nnU-Net v2,BMC MEDICAL IMAGING,journalArticle,KBURGWIJ,INCLUDE,EXCLUDE,INCLUDE,"The GT and predicted segmentations were imported into 3D Slicer (version 5.10.0), and individual lesions were separated into distinct 3D objects. Lesion volumes (mm³) were computed for each object.",3D Slicer,Endodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: The GT and predicted segmentations were imported into 3D Slicer (version 5.10.0), and individual lesions were separated into distinct 3D objects. Lesion volumes (mm³) were computed for each object.
【软件】: 3D Slicer
【专科】: Endodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
age related changes in the parotid gland a computed tomography based radiomics study,Age-related changes in the parotid gland: a computed tomography-based radiomics study.,Quantitative imaging in medicine and surgery,journalArticle,JB6FVHV7,INCLUDE,INCLUDE,INCLUDE,"The parotid glands were segmented automatically on CT images using the TotalSegmentator deep learning model (8) implemented in 3D Slicer (https://www.slicer.org/). ... For quality control, segmentation of all parotid glands was double-checked manually using 3D Slicer (version 5.6.2).",3D Slicer,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: The parotid glands were segmented automatically on CT images using the TotalSegmentator deep learning model (8) implemented in 3D Slicer (https://www.slicer.org/). ... For quality control, segmentation of all parotid glands was double-checked manually using 3D Slicer (version 5.6.2).
【软件】: 3D Slicer
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
direction oriented fiber guiding with a tunable tri layer 3d scaffold for periodontal regeneration,Direction-oriented fiber guiding with a tunable tri-layer-3D scaffold for periodontal regeneration,RSC ADVANCES,journalArticle,SB5HVH7V,INCLUDE,INCLUDE,INCLUDE,"""VGStudio Max 2.2.6 software was used to analyze the data."" 以及 ""using Creo Parametric 8.0.4.0, a computer-aided modeling (CAD) of the constituent components was made.""",VGStudio Max; Creo Parametric,Periodontology,Image segmentation and 3D reconstruction,in_vitro,"【判定】: INCLUDE
【证据】: ""VGStudio Max 2.2.6 software was used to analyze the data."" 以及 ""using Creo Parametric 8.0.4.0, a computer-aided modeling (CAD) of the constituent components was made.""
【软件】: VGStudio Max; Creo Parametric
【专科】: Periodontology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: in_vitro"
tissue surface adaptation and retention of digital obturator after one year of use,Tissue surface adaptation and retention of digital obturator after one year of use,BMC ORAL HEALTH,journalArticle,MTZIVEQB,INCLUDE,INCLUDE,INCLUDE,"The STL file of fitting surface of obturator and the primary model were imported to the surface matching software program (Geomagic Control X 2018, 3D Systems, Tokyo, Japan). The STL file of obturator was superimposed onto the STL file of the primary model according to reference points then best fit and 3D compare options were selected as the final matching occurred.",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: The STL file of fitting surface of obturator and the primary model were imported to the surface matching software program (Geomagic Control X 2018, 3D Systems, Tokyo, Japan). The STL file of obturator was superimposed onto the STL file of the primary model according to reference points then best fit and 3D compare options were selected as the final matching occurred.
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
biomechanical effects of platform diameter and screw length in an abutment free tissue level implant system compared with a ti base configuration 3d finite element analysis,Biomechanical Effects of Platform Diameter and Screw Length in an Abutment-Free Tissue-Level Implant System Compared with a Ti-Base Configuration: 3D Finite Element Analysis,JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,H9GBH348,INCLUDE,EXCLUDE,INCLUDE,"For the finite element analysis, the biomechanical assemblies were defined and simplified in SpaceClaim and DesignModeler in Ansys Workbench 2024 R1 ... and then imported into Ansys Mechanical 2024 R1 for meshing, solution, and post-processing.",ANSYS (Ansys Workbench; Ansys Mechanical; SpaceClaim; DesignModeler),Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: For the finite element analysis, the biomechanical assemblies were defined and simplified in SpaceClaim and DesignModeler in Ansys Workbench 2024 R1 ... and then imported into Ansys Mechanical 2024 R1 for meshing, solution, and post-processing.
【软件】: ANSYS (Ansys Workbench; Ansys Mechanical; SpaceClaim; DesignModeler)
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement a human cadaver study,Does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement?: A human cadaver study.,Clinical oral implants research,journalArticle,EB4NSAMK,INCLUDE,EXCLUDE,INCLUDE,"inspection software (Geomagic Verify, SculptCAD, Dallas, TX, USA) and then superimposed using the remaining teeth as references. Reverse engineering was applied to the superimposed image",Geomagic Verify,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: inspection software (Geomagic Verify, SculptCAD, Dallas, TX, USA) and then superimposed using the remaining teeth as references. Reverse engineering was applied to the superimposed image
【软件】: Geomagic Verify
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
root canal treatment planning by automatic tooth and root canal segmentation in dental cbct with deep multi task feature learning,Root canal treatment planning by automatic tooth and root canal segmentation in dental CBCT with deep multi-task feature learning,MEDICAL IMAGE ANALYSIS,journalArticle,I73XE6IF,INCLUDE,EXCLUDE,INCLUDE,The endodontists used the ITK-SNAP software to manually label the voxels belonging to the pulp and root canal,ITK-SNAP,Endodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: The endodontists used the ITK-SNAP software to manually label the voxels belonging to the pulp and root canal
【软件】: ITK-SNAP
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
a new method to evaluate trueness and precision of digital and conventional impression techniques for complete dental arch,A New Method to Evaluate Trueness and Precision of Digital and Conventional Impression Techniques for Complete Dental Arch,APPLIED SCIENCES-BASEL,journalArticle,4SX8KTJM,INCLUDE,INCLUDE,INCLUDE,"For the digital models, geometric inspection software (Geomagic Control X, 3D systems, Rocky Hill, CT, USA) was used to compute the centroid of each cylinder",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: For the digital models, geometric inspection software (Geomagic Control X, 3D systems, Rocky Hill, CT, USA) was used to compute the centroid of each cylinder
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
development of micro ct based anatomically accurate tooth model for finite element analysis of composite restorations,Development of Micro-CT-Based Anatomically Accurate Tooth Model for Finite Element Analysis of Composite Restorations.,Dentistry journal,journalArticle,ZUNK9NNI,INCLUDE,EXCLUDE,INCLUDE,"""The reconstructed micro-CT image stack was imported into the 3D Slicer software (v.5.1), where segmentation of the enamel, dentin, and pulp tissues was carried out""；""These STL files were subsequently imported into Solid Edge CAD software (2023, Siemens, Osaka, Japan)""；""selected surface corrections were carried out using Blender software (v.3.8)""",3D Slicer; Solid Edge; Blender,Restorative Dentistry,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""The reconstructed micro-CT image stack was imported into the 3D Slicer software (v.5.1), where segmentation of the enamel, dentin, and pulp tissues was carried out""；""These STL files were subsequently imported into Solid Edge CAD software (2023, Siemens, Osaka, Japan)""；""selected surface corrections were carried out using Blender software (v.3.8)""
【软件】: 3D Slicer; Solid Edge; Blender
【专科】: Restorative Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
digital duplication of maxillary complete denture a dental technique,Digital duplication of maxillary complete denture: A dental technique.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],journalArticle,JP3XLWTI,INCLUDE,INCLUDE,INCLUDE,"""Import the Digital Imaging and Communication in Medicine (DICOM) file obtained from the (CBCT) machine into an image computing platform software (3D Slicer 4.10.2), then change the file format into an STL (Standard Tessellation Language) file."" 以及 ""The obtained digital imaging and communication in medicine (DICOM) file was segmented using an image computing platform software (3D slicer).""",3D Slicer,Prosthodontics,Image segmentation and 3D reconstruction,technical_note,"【判定】: INCLUDE
【证据】: ""Import the Digital Imaging and Communication in Medicine (DICOM) file obtained from the (CBCT) machine into an image computing platform software (3D Slicer 4.10.2), then change the file format into an STL (Standard Tessellation Language) file."" 以及 ""The obtained digital imaging and communication in medicine (DICOM) file was segmented using an image computing platform software (3D slicer).""
【软件】: 3D Slicer
【专科】: Prosthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: technical_note"
rehabilitation of the severely atrophic maxilla with subperiosteal implants a biomechanical and decision analysis of material and configuration choices,Rehabilitation of the Severely Atrophic Maxilla with Subperiosteal Implants: A Biomechanical and Decision Analysis of Material and Configuration Choices.,"Biomimetics (Basel, Switzerland)",journalArticle,G42JR78G,INCLUDE,EXCLUDE,INCLUDE,"""The one-piece and two-piece SI together with their respective abutment were modeled in Blender for Dental (New York, NY, USA), while fixation screws were designed in Solidworks (Dassault Systèmes SolidWorks Corp., Waltham, MA, USA)."" 以及 ""The models created in Blender for Dental and Solidworks were subsequently transferred to Simulia Abaqus software (Dassault Systèmes Simulia Corp., Johnston, RI, USA) while preserving the 3D coordinates.""",SolidWorks; ABAQUS,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""The one-piece and two-piece SI together with their respective abutment were modeled in Blender for Dental (New York, NY, USA), while fixation screws were designed in Solidworks (Dassault Systèmes SolidWorks Corp., Waltham, MA, USA)."" 以及 ""The models created in Blender for Dental and Solidworks were subsequently transferred to Simulia Abaqus software (Dassault Systèmes Simulia Corp., Johnston, RI, USA) while preserving the 3D coordinates.""
【软件】: SolidWorks; ABAQUS
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
three dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism,Three-dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism.,BMC oral health,journalArticle,TYDR2R9S,INCLUDE,EXCLUDE,INCLUDE,"""Segmentation was performed in 3D Slicer (v. 5.2.2). Reverse engineering and CAD refinement were carried out in ANSYS SpaceClaim (v. Ansys 2023 R1), meshing and preprocessing in ANSYS Workbench (v. Ansys 2023 R1), and simulations were solved using LS-DYNA (v. Ansys 2023 R1)""; ""Mandibular and maxillary bony structures were segmented in 3D Slicer and exported as STL files, then repaired/refined in SpaceClaim.""",3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA,Oral and Maxillofacial Surgery,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""Segmentation was performed in 3D Slicer (v. 5.2.2). Reverse engineering and CAD refinement were carried out in ANSYS SpaceClaim (v. Ansys 2023 R1), meshing and preprocessing in ANSYS Workbench (v. Ansys 2023 R1), and simulations were solved using LS-DYNA (v. Ansys 2023 R1)""; ""Mandibular and maxillary bony structures were segmented in 3D Slicer and exported as STL files, then repaired/refined in SpaceClaim.""
【软件】: 3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
an open source ai tool for predicting cephalometric measurements from clinical data and photographic images,An open-source AI tool for predicting cephalometric measurements from clinical data and photographic images,BMC ORAL HEALTH,journalArticle,GMX68ZMT,INCLUDE,INCLUDE,INCLUDE,"""3D intraoral scans were obtained using the iTero scanner and analysed in STL format with MeshMixer software.""",MeshMixer,Orthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: ""3D intraoral scans were obtained using the iTero scanner and analysed in STL format with MeshMixer software.""
【软件】: MeshMixer
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
automatic three dimensional facial symmetry reference plane construction based on facial planar reflective symmetry net,Automatic three-dimensional facial symmetry reference plane construction based on facial planar reflective symmetry net,JOURNAL OF DENTISTRY,journalArticle,M7P5EH6Q,INCLUDE,EXCLUDE,INCLUDE,"""they manually adjusted the different views of the 3D facial data in the software (Geomagic wrap 2021, 3D System, USA) and then determined the 3D facial SRP based on their clinical experience.""",Geomagic Wrap,Orthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: ""they manually adjusted the different views of the 3D facial data in the software (Geomagic wrap 2021, 3D System, USA) and then determined the 3D facial SRP based on their clinical experience.""
【软件】: Geomagic Wrap
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
three dimensional accuracy of in office aligner therapy a retrospective comparison between planned and achieved tooth positions,Three-dimensional accuracy of in-office aligner therapy: a retrospective comparison between planned and achieved tooth positions,JOURNAL OF DENTISTRY,journalArticle,WN2IRATQ,INCLUDE,INCLUDE,INCLUDE,"""Three-dimensional analyses were performed using freely available 3D Slicer software (version 4.11) with the SlicerCMF extension."" 以及 ""linear and angular discrepancies were quantified using freely available Slicer CMF software (version 4.11)""",3D Slicer,Orthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""Three-dimensional analyses were performed using freely available 3D Slicer software (version 4.11) with the SlicerCMF extension."" 以及 ""linear and angular discrepancies were quantified using freely available Slicer CMF software (version 4.11)""
【软件】: 3D Slicer
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
in vivo trueness of full arch implant supported cad cam restorations and models based on conventional impressions,In vivo trueness of full-arch implant-supported CAD/CAM restorations and models based on conventional impressions,JOURNAL OF DENTISTRY,journalArticle,NM4KD692,INCLUDE,EXCLUDE,INCLUDE,"""CAD files were defeatured, removing the complex internal threading of CAD-AN and the hexagonal connection not in use for multiple-unit restorations for CAD-SB and CAD-AN (Geomagic Design X, version 2019.0.0 64-bit; 3D Systems)"" 及 ""The Datums were created in 3D inspection software Geomagic Control X (Software version 2018.1.1 64-bit; 3D Systems)""",Geomagic Design X; Geomagic Control X,Implantology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""CAD files were defeatured, removing the complex internal threading of CAD-AN and the hexagonal connection not in use for multiple-unit restorations for CAD-SB and CAD-AN (Geomagic Design X, version 2019.0.0 64-bit; 3D Systems)"" 及 ""The Datums were created in 3D inspection software Geomagic Control X (Software version 2018.1.1 64-bit; 3D Systems)""
【软件】: Geomagic Design X; Geomagic Control X
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
quantitative and qualitative evaluation of precision in dental 3d facial scanning across handheld fixed multicamera and smartphone depth sensing systems,"Quantitative and qualitative evaluation of precision in dental 3D facial scanning across handheld, fixed multicamera, and smartphone depth-sensing systems.",The Journal of prosthetic dentistry,journalArticle,3SRFQXMZ,INCLUDE,INCLUDE,INCLUDE,"Scan data were superimposed using the best-fit algorithm in reverse engineering software program (Geomagic control X) to calculate the root mean square (RMS) deviation... The STL files were imported into a reverse engineering software program (Geomagic control X; 3D systems), and the scan data were trimmed... a mold was designed in a CAD software program (Meshmixer; Autodesk)",Geomagic Control X; Meshmixer,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: Scan data were superimposed using the best-fit algorithm in reverse engineering software program (Geomagic control X) to calculate the root mean square (RMS) deviation... The STL files were imported into a reverse engineering software program (Geomagic control X; 3D systems), and the scan data were trimmed... a mold was designed in a CAD software program (Meshmixer; Autodesk)
【软件】: Geomagic Control X; Meshmixer
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
three dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation of severely atrophic maxilla,Three-dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation of severely atrophic maxilla,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,journalArticle,QYXA5YVP,INCLUDE,EXCLUDE,INCLUDE,"""These DICOM files were imported into Mimics Innovation Suite v24.0 (Materialise NV, Leuven, Belgium) for three-dimensional reconstruction."" / ""The reconstructed 3D geometry was then exported in stereolithography (STL) format and further processed in Geomagic Design X v2022.0 (3D Systems, Morrisville, North Carolina, USA) for surface refinement"" / ""The scanned implants were combined with the maxillary 3D model in SolidWorks (2024)""",Mimics Innovation Suite; Geomagic Design X; SolidWorks,Oral and Maxillofacial Surgery,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""These DICOM files were imported into Mimics Innovation Suite v24.0 (Materialise NV, Leuven, Belgium) for three-dimensional reconstruction."" / ""The reconstructed 3D geometry was then exported in stereolithography (STL) format and further processed in Geomagic Design X v2022.0 (3D Systems, Morrisville, North Carolina, USA) for surface refinement"" / ""The scanned implants were combined with the maxillary 3D model in SolidWorks (2024)""
【软件】: Mimics Innovation Suite; Geomagic Design X; SolidWorks
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
a novel method of 3d printing locating guide for abutment screw removal in cement retained implant supported prostheses,A novel method of 3D printing locating guide for abutment screw removal in cement- retained implant-supported prostheses,JOURNAL OF DENTAL SCIENCES,journalArticle,ZFERNRSM,,INCLUDE,INCLUDE,"The abutment screw locating guide was designed with a 3D design software (Materialise, Leuven, Belgium) and mounted on the adjacent teeth of the denture using the axis",Materialise,Implantology,Digital design and manufacturing,technical_note,"【判定】: INCLUDE
【证据】: The abutment screw locating guide was designed with a 3D design software (Materialise, Leuven, Belgium) and mounted on the adjacent teeth of the denture using the axis
【软件】: Materialise
【专科】: Implantology
【应用场景】: Digital design and manufacturing
【研究设计】: technical_note"
trueness of the apical and middle root portion segments of 3d printed removable die and alveolar cast designs manufactured using stereolithographic 3d printing,Trueness of the apical and middle root portion segments of 3D-printed removable die and alveolar cast designs manufactured using stereolithographic 3D printing,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,PGF7LT48,INCLUDE,INCLUDE,INCLUDE,"their respective standard tessellation language files were aligned and compared to master reference files in a metrology-grade computer program (Geomagic Control X; 3D systems, Rock Hill, NC)；the master reference file of each design used to manufacture the specimens was imported into the metrology-grade computer program (Geomagic Control X; 3D Systems, Rock Hill, SC) and their respective apical and middle segments were defined...isolated from the rest of the scan using the Split/Region tool in t",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: their respective standard tessellation language files were aligned and compared to master reference files in a metrology-grade computer program (Geomagic Control X; 3D systems, Rock Hill, NC)；the master reference file of each design used to manufacture the specimens was imported into the metrology-grade computer program (Geomagic Control X; 3D Systems, Rock Hill, SC) and their respective apical and middle segments were defined...isolated from the rest of the scan using the Split/Region tool in the computer program
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
noncarious cervical lesions in the aging population analyzed through digital scanning occlusal risk factors dimensions and morphology,"Noncarious cervical lesions in the aging population analyzed through digital scanning: occlusal risk factors, dimensions, and morphology",CLINICAL ORAL INVESTIGATIONS,journalArticle,B3ERSAXL,,INCLUDE,INCLUDE,"""The maximum depth of each cervical wear, as well as their width in the most incisal/occlusal region were acquired using the ImageJ software v. 2.9.0 (NIH, Bethesda, USA)""",ImageJ,Restorative Dentistry,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""The maximum depth of each cervical wear, as well as their width in the most incisal/occlusal region were acquired using the ImageJ software v. 2.9.0 (NIH, Bethesda, USA)""
【软件】: ImageJ
【专科】: Restorative Dentistry
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
efficacy of submucosal polydeoxyribonucleotide injection after impacted mandibular third molar extraction a randomized controlled trial,Efficacy of Submucosal Polydeoxyribonucleotide Injection after Impacted Mandibular Third Molar Extraction: A Randomized Controlled Trial,YONSEI MEDICAL JOURNAL,journalArticle,RHIDMTCI,INCLUDE,INCLUDE,INCLUDE,"Scans were exported as STL files and imported into the dental application software Materialise MIMICS 21.0 ... The STL files were imported into the software Materialise 3-matic version 18.0 for superimposition of the pair of scans (P0-P3 and P0-P7) using the ""part comparison"" specific tool.",Materialise MIMICS; Materialise 3-matic,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: Scans were exported as STL files and imported into the dental application software Materialise MIMICS 21.0 ... The STL files were imported into the software Materialise 3-matic version 18.0 for superimposition of the pair of scans (P0-P3 and P0-P7) using the ""part comparison"" specific tool.
【软件】: Materialise MIMICS; Materialise 3-matic
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
